"ostim_id","sexlab_id","description"
"MNBVGoToStandingMakingOutRev","\N","{actor0} and {actor1} are standing face to face, both with their feet planted firmly on the ground, in a moment of stillness, awaiting the next development."
"MNBVGoToStandingNeckKissFingering","\N","{actor0} and {actor1} are standing face to face, their feet firmly on the ground, in a moment of transition, neither of them making a move, the tension between them is palpable."
"MNBVGoToStandingHug2","\N","{actor0} and {actor1}, both women, stand facing each other, their feet planted firmly on the ground."
"MNBVKneelingLicking3","\N","{actor0} stands with her feet firmly on the ground, while {actor1} kneels before her, passionately licking her vulva with her tongue, engaging in an intimate oral sex act."
"MNBV692","\N","{actor0} is on all fours, while {actor1} is lying back, as they engage in a passionate 69. {actor0} is licking {actor1}'s vulva with her tongue, and simultaneously, {actor1} is also using her tongue to delve into {actor0}'s vulva, creating a mutual and intense oral exchange."
"MNBVSittingLyingRubClimax","\N","{actor0} sits beside {actor1}, who's lying back, and gently starts rubbing {actor1}'s clit with her hand, reigniting the passion between them."
"MNBVSittingLyingRubKiss","\N","{actor0} sits beside {actor1}, who's lying back, as they engage in a romantic and sensual kiss. At the same time, {actor0} uses her hand to rub {actor1}'s clit, a sexual and intimate gesture."
"MNBVGoToSittingLying","\N","{actor0} is sitting, while {actor1} lies back, the two women are positioned in a calm and serene arrangement, not currently engaging in any explicit activity."
"MNBVGoToBedLyingSideMakeout","\N","{actor0} lies on her side, while {actor1} lies back beside her, the two women resting together in a calm, intimate pose."
"MNBVGoToStandingHug","\N","{actor0} and {actor1}, both women, stand with their feet on the ground, facing each other, their bodies upright in a neutral, still position, with no active interaction occurring between them."
"MNBVHoldingHands","\N","{actor0} and {actor1} stand facing each other, their feet planted firmly on the ground, as they engage in a romantic gesture, holding hands, their eyes locked in a passionate gaze, both women clearly yearning for their next intimate encounter."
"MNBVHoldingHandsFingering","\N","{actor0} and {actor1} are standing face to face, {actor0}'s hand is between {actor1}'s legs, stroking her bud as they share a passionate moment."
"MNBVKneeling","\N","{actor0} is standing with her feet firmly on the ground, while {actor1} kneels before her, anticipation building between the two women as they await their next intimate encounter."
"MNBVKneelingLyingLeanScissoring3","\N","{actor0} and {actor1} are lying back, grinding their pussies together in a sensual tribbing motion, as {actor0} holds {actor1}'s thigh, heightening the intimacy of the moment."
"MNBVKneelingLyingLeanGrind","\N","{actor0} kneels over {actor1}, who lies back, as they engage in a passionate tribadism session. {actor0} rubs {actor1}'s clit with her hand, stimulating her vulva, while she simultaneously holds {actor1}'s head in place."
"MNBVGoToStandingSidewaysRev","\N","{actor0} and {actor1}, both women, stand facing each other, their feet firmly on the ground, in a moment of stillness, poised for something to happen next."
