"ostim_id","sexlab_id","description"
"DogmaDrawerLickingVirgin-1","dogma_drawer_licking_virgin_s1","{actor0} is standing with his pants down, bent over, his erect cock on full display, while {actor1} is sitting in front of him, her eyes fixed on his throbbing shaft, intently spectating as he prepares for action."
"DogmaChairExpose-1","dogma_chair_expose_s1","{actor1} is kneeling on top of {actor0}, who's sitting, as they engage in a passionate cowgirl-style vaginal sex, with {actor1}'s vulva enveloping {actor0}'s hard cock."
"DogmaChairSex-11","dogma_chair_sex_s11","{actor1} is straddling {actor0} in a cowgirl position, sitting on his lap, her vulva aligned with his erect cock, as they sit on a chair in a public place, surrounded by the hustle and bustle of everyday life. {actor0} is seated with his back straight, his hands gripping the armrests of the chair, as he gazes up at {actor1} with a mixture of excitement and arousal."
"DogmaDrawerSexVirgin-6","dogma_drawer_sex_virgin_s6","{actor0} stands over {actor1}, who is kneeling, as he lovingly wraps his hand around her hip, holding her close in a romantic gesture."
"DogmaDrawerSexVirgin-3","dogma_drawer_sex_virgin_s3","{actor0} is standing while {actor1} is sitting, pleasuring him with a handjob, her hand gripping his shaft as she strokes him off."
"DogmaInspection-3","dogma_inspection_s3","{actor0} is standing behind {actor1}, who is sitting, and leaning forward in a bend over position. He's fingering her clitoris with his hand, providing stimulation to her vulva while she sits."
"DogmaDrawerLickingSlut-4","dogma_drawer_licking_slut_s4","{actor0} is standing, masturbating himself while holding {actor1}'s hip, who is kneeling in front of him."
"DogmaBedSucking-10","dogma_bed_sucking_s10","{actor0} is sitting, while {actor1} is kneeling in front of him, her mouth wrapped around his cock as she performs a blowjob. At the same time, {actor0} has his hand on the back of {actor1}'s head, gently holding it in place as she sucks him off."
"DogmaChairExpose-3","dogma_chair_expose_s3","{actor0} is sitting with {actor1} kneeling on top of him, her thighs straddling his hips as she rides him in a cowgirl position, her vulva enveloping his erect cock in a passionate, sexual vaginalsex encounter."
"DogmaDrawerSexVirgin-2","dogma_drawer_sex_virgin_s2","{actor0} stands tall, his eyes fixed intently on {actor1} as she sits before him, her every move under his watchful gaze."
"DogmaChairExpose-2","dogma_chair_expose_s2","{actor0} sits with his cock erect, as {actor1} kneels on top of him, her vulva enveloping his shaft in a sensual cowgirl position, their bodies moving in a synchronized rhythm as they engage in passionate vaginal sex."
"DogmaStandingPlug-7","dogma_standing_plug_s7","{actor0} stands facing {actor1}, who also stands, as he thrusts his penis into her vulva, simultaneously using a sex toy to stimulate her anus. Meanwhile, he holds onto her hip with one hand, pulling her closer to him."
"DogmaInspection-1","dogma_inspection_s1","{actor0} stands, watching intently as {actor1} stands before him, her actions on full display as he spectates her every move."
"DogmaStandingPlug-8","dogma_standing_plug_s8","{actor0} is standing, holding {actor1}'s hip in a romantic gesture, as they engage in vaginal sex, with {actor0}'s penis inside {actor1}'s vulva, both of them standing upright."
"DogmaSneakyCowgirl-4","dogma_sneaky_cowgirl_s4","{actor0} is lying back while {actor1} sits on top of him, riding him in a cowgirl position, their bodies connected in a passionate act of vaginal sex. {actor0}'s shaft is thrust deep into {actor1}'s wet pussy as they engage in a fervent and sexual encounter."
"DogmaTubSexSlut-2","dogma_tub_sex_slut_s2","{actor0} stands behind {actor1}, who's bent over, as he plunges his hand into her ass for an intense session of anal fisting."
"DogmaTableFootjob-6","dogma_table_footjob_s6","{actor0} stands tall, his hand wrapped firmly around {actor1}'s foot as she sits, using her feet to stimulate his cock in a sensual footjob, her toes expertly teasing his erection."
"DogmaStandingPlug-1","dogma_standing_plug_s1","{actor0} is standing, his erect cock buried deep inside {actor1}'s pussy as they engage in passionate vaginal sex. At the same time, he wraps his hand around her hip, holding her close in a romantic gesture, as they both stand together, lost in the moment."
"DogmaTableExpose-8","dogma_table_expose_s8","{actor0} is standing while {actor1} sits with her legs spread, as they engage in a passionate doggy-style sex act, with {actor0}'s penis thrusting into {actor1}'s vulva. At the same time, {actor1} wraps her arms around {actor0}'s body, holding him close, while {actor0} grasps {actor1}'s body, pulling her into him."
"DogmaTableFootjob-8","dogma_table_footjob_s8","{actor0} is standing, while {actor1} is sitting, her feet working {actor0}'s shaft in a sexual footjob. At the same time, {actor0} is holding onto {actor1}'s foot, intensifying the experience."
"DogmaTubSexVirgin-2","dogma_tub_sex_virgin_s2","{actor0} is standing behind {actor1}, who is bent over, as he plunges his hand into her anus in a sensuous anal fisting, his fingers exploring her tight rear passage."
"DogmaTubSexVirgin-3","dogma_tub_sex_virgin_s3","{actor0} sits with {actor1} straddling him, her vulva enveloping his engorged cock as they engage in passionate, sexual vaginal intercourse."
