"ostim_id","sexlab_id","description"
"BillyyChair2PAnalBendOverClimax01","\N","{actor0} is standing behind {actor1}, who is kneeling and facing away from him, her feet flat on the ground. He's thrusting his cock into her asshole from behind, while simultaneously holding her head in place with one hand."
"BillyyChair2PBlowjobClimax0","\N","{actor0} is standing with his feet on the ground, holding {actor1}'s head in his hands as she sits with her feet on the floor."
"BillyyChair2PAnalBendOverClimax1","\N","{actor0} is standing with his feet on the ground, while {actor1} is kneeling in front of him, facing away, her feet also on the ground. He is thrusting his erection into her anus from behind, as he gently holds her head with one hand."
"BillyyChair2PBlowjobAllFours","\N","{actor0} is sitting in the chair with his feet planted firmly on the ground, while {actor1} is on all fours in front of him, her mouth wrapped around his cock as she gives him a blowjob."
"BillyyChair2PAnalSquatting","\N","{actor0} is standing with his feet on the ground, his penis deep in {actor1}'s ass as he takes her from behind while she kneels facing away, her back to him. He's got a firm grip on her neck and arm, holding her in place as he thrusts into her."
"BillyyChair2PBlowjobSittingClimax0","\N","{actor0} stands with his feet on the ground, while {actor1} sits on the chair, her feet planted firmly on the floor. {actor1} gives {actor0} a blowjob, her mouth wrapped around his cock, as he holds her head in place with one hand, and she grasps his leg with hers."
"BillyyChair2PBlowjobStanding","\N","{actor0} sits in the chair with his feet planted on the ground, while {actor1} stands before him, her mouth wrapped around his cock as she performs a blow job, her head bobbing up and down in a sensual rhythm."
"BillyyChair2PAnalHollowBackClimax0","\N","{actor0} stands with his feet on the ground, his penis penetrating {actor1}'s anus from behind as she kneels and faces away, her body positioned in a way that allows him to thrust into her. At the same time, {actor0} uses his hand to gently hold {actor1}'s head in place."
"BillyyChair2PBlowjobKneeling","\N","{actor0} sits in the chair with his feet planted firmly on the ground, while {actor1} kneels before him, her mouth wrapped around his rigid cock, performing a passionate blowjob."
"BillyyChair2PCowgirlClimax01","\N","{actor1} is sitting in a chair, riding {actor0} in a cowgirl position, actively thrusting her hips as {actor0} stands with his feet on the ground, his penis buried inside her vulva, while he holds her head in his hands."
"BillyyChair2PAnalBendOverClimax0","\N","{actor0} is standing with his feet on the ground, thrusting his stiff cock into {actor1}'s anus from behind as she kneels and faces away, her back to him, while simultaneously holding her head in place with his hand."
"BillyyChair2PCowgirlClimax0","\N","{actor0} stands with his feet on the ground, while {actor1} sits on his lap, straddling him in a cowgirl position. She's actively riding him, her vulva enveloping his shaft, as he grasps her head with his hand."
