"ostim_id","sexlab_id","description"
"MilkyWallbehind1-5","milky_wallbehind1_S5","{actor0} stands with his back against the wall, his cock buried deep in {actor1}'s pussy as she stands facing away from him, her hips pressed against his. He grasps her hip with one hand, holding her in place, while she wraps her arm around him, her hand clinging to his arm, their bodies entwined in a passionate, milky embrace."
"MilkyTable1-2","milky_alchemytable1_S2","{actor0} stands over {actor1}, who lies back with her legs spread wide, as he thrusts his cock into her pussy in a sensual missionary position. At the same time, he holds her body close, while she wraps her hand around his arm, pulling him deeper into her."
"MilkyStool1-4","milky_stool1_S4","{actor0} stands over {actor1}, who sits with her back to him, as he penetrates her anus with his cock, simultaneously grasping her arm with his hand."
"MilkyTable2-5","milky_alchemytable2_S5","{actor0} is standing, pounding into {actor1} from behind as she bends over, her vulva enveloping his shaft in a milky wetness. He grasps her body with one hand and holds her arm with the other, controlling the tempo of their intense vaginal sex."
"MilkyPage4","\N","{actor0} and {actor1} stand facing each other, both with their feet planted firmly on the ground, their bodies tense with anticipation as they await the next move in their carnal encounter."
"MilkyDoggy3-2","milky_doggy3_S2","{actor0} is kneeling behind {actor1}, who's on all fours, as he thrusts his cock into her pussy from behind in a doggy-style position, holding onto her body for leverage."
"MilkyDoggy3-4","milky_doggy3_S4","{actor0} is kneeling behind {actor1}, who is also on her knees, as he thrusts his penis into her vulva in a doggy style position, holding onto her arm with one hand."
"MilkyMissionary1-5","milky_missionary_1_S5","{actor0} is kneeling beside {actor1}, who is lying back, as he strokes his own shaft in a sensual motion, his hand moving up and down his erection. At the same time, he's gently holding {actor1}'s leg, his fingers wrapped around her calf."
"MilkySthrone1-4","milky_sthrone1_S4","{actor0} stands over {actor1}, who lies back with her legs spread wide, as he thrusts his cock into her pussy in a classic missionary position, holding her leg in place with one hand."
"MilkyBed2-5","milky_bed2_S5","{actor0} is kneeling behind {actor1}, who's on all fours, as he pounds her from behind in a passionate doggy-style position, his hands grasping her hips tight. His hard cock is deeply thrusting into her juicy vulva, sparking intense pleasure."
"MilkyCunnilingus1-2","milky_cunnilingus1_S2","{actor0} lies back as {actor1} kneels over him, her hand wrapped around his shaft, stroking it with a gentle yet sensual handjob, while their hands intertwine in a tender holding of hands, filling the air with a sense of romance and intimacy."
"MilkyBed3-5","milky_bed3_S5","{actor1} straddles {actor0}, riding him in a sensual cowgirl position. {actor0} lies back, holding one of {actor1}'s legs as she bounces up and down, his penis deep inside her vulva, while {actor1} grasps his torso, their bodies moving in sync."
"MilkyAlchemytable1-4","milky_alchemytable1_S4","{actor0} is standing behind {actor1}, who is bent over with her legs spread, as he takes her from behind in a doggy style position, his penis deeply penetrating her vulva. At the same time, {actor0} has a firm grip on {actor1}'s leg, holding it in place as they engage in passionate vaginal sex."
"MilkyCowgirl2-5","milky_cowgirl2_S5","{actor1} is sitting on top of {actor0}, riding him in a cowgirl position as they engage in passionate vaginal sex, her vulva enveloping his throbbing cock. Meanwhile, {actor0} is lying back, holding onto {actor1}'s leg with one hand, while {actor1} is grasping {actor0}'s leg with her hand, their bodies moving in perfect sync."
"MilkyBed1-5","milky_bed1_S5","{actor0} is standing over {actor1}, who is lying back, as he plunges his erection into her pussy in a passionate missionary position, their bodies locked in a frenzied, sultry dance."
"MilkyLaying1-4","milky_laying1_S4","{actor0} is kneeling, thrusting his cock into {actor1}'s pussy as she lies on her front, while he wraps his arms around her body, holding her close."
