"ostim_id","sexlab_id","description"
"\N","a_69_S1","{actor1} is on her knees, while {actor0} lies back, his hand slipped between her thighs, his fingers probing her vulva, as his other hand squeezing her buttocks, rubbing her from behind."
"\N","a_69_S2","{actor0} lies back as {actor1} kneels over him, her back facing him. She gives him a handjob while he performs cunnilingus on her without using his tongue, both acts happening simultaneously in a 69 position."
"\N","a_69_S3","{actor1} is on all fours, facing away from {actor0}, while {actor0} lies back with his feet on the ground. {actor0} is giving {actor1} a rimjob with his tongue, as {actor1} simultaneously gives {actor0} a boob job, rubbing her breasts against his penis."
"\N","a_69_S4","{actor0} lies back with his feet on the ground, while {actor1} kneels over him, facing away, and gives him a blowjob, her mouth wrapped around his cock as she performs oral sex."
"\N","a_69_S5","{actor0} is lying back with his feet on the ground and {actor1} is on all fours above him, facing away. {actor1} is giving {actor0} a blowjob with her mouth on his penis, while {actor0} simultaneously fingers {actor1}'s vulva with his hand."
"\N","a_69_S6","{actor0} lies back with his feet on the ground, his cock being deepthroated by {actor1}, who is on all fours facing away from him. As she orally satisfies him, {actor1} simultaneously masturbates her own vulva, bringing herself to a climax alongside {actor0}, who is also reaching his orgasmic peak."
"\N","a_amazon_S1","{actor1} is kneeling over {actor0}, facing away from him as she sits on his face, her vulva pressed against his mouth, while {actor0} lies back, his tongue licking and teasing her asshole in a passionate rimjob."
"\N","a_amazon_S2","{actor1} sits on top of {actor0}, who lies back, as she grasps his cock and strokes it with her hand, giving him a firm handjob."
"\N","a_amazon_S3","{actor1} is squatting over {actor0}, who's lying back, as she takes control in a dominant cowgirl position. {actor1} is actively riding {actor0}'s erect cock, her feet planted firmly on the ground, while she grasps {actor0}'s leg with her hand."
"\N","a_amazon_S4","{actor1} is squatting over {actor0}, who's lying back, as she rides him in a dominant cowgirl position, her feet planted firmly on the ground. She's actively grinding her vulva onto his penis while holding onto his thigh, taking control of the intense, sexual vaginal sex."
"\N","a_amazon_S5","{actor1} is squatting over {actor0}, who's lying back, as she rides him in a cowgirl position, her vulva sliding up and down on his erection, taking control in this femdom encounter."
"\N","a_amazon_S6","{actor1} is squatting over {actor0}, who's lying back, as she rides him in a cowgirl position, her feet flat on the ground. Meanwhile, {actor1} is holding {actor0}'s foot, her hand grasping his ankle, as he reaches his orgasm, his cock thrusting into her pussy in a frenzied, sexual tempo."
"\N","Aanaldoggy_S1","{actor0} is standing behind {actor1}, who is on all fours facing away from him, as he thrusts his stiff dick into her puckered anus from behind in a doggystyle position, engaging in a passionate buttjob."
"\N","Aanaldoggy_S2","{actor0} is standing behind {actor1} who is on all fours, his stiff penis thrusting into her anus in a doggystyle position as they engage in anal sex."
"\N","Aanaldoggy_S3","{actor0} stands behind {actor1}, his erection buried deep within her anus as she's positioned on all fours, facing away from him, her butt raised high in the air, actively taking control of the anal sex."
"\N","Aanaldoggy_S4","{actor0} is standing behind {actor1}, who is on all fours with her feet on the ground and facing away from him, as he pounds into her from behind in a doggystyle position, his penis thrusting into her anus."
"\N","Aanaldoggy_S5","{actor0} is squatting behind {actor1}, who's on all fours, facing away from him, as he plows his dick into her asshole in a passionate doggystyle anal fucking."
"\N","Aanaldoggy_S6","{actor0} is on all fours, climaxing, as he pounds into {actor1} from behind, his cock thrusting deep into her asshole, while {actor1} lies front-facing, her back arched and her butt raised in the air, as she takes his anal penetration with abandon."
"\N","A_bed2_S1","{actor0} stands beside the bed, his feet planted firmly on the ground, as he gently inserts his fingers into {actor1}'s pussy, stimulating her vulva. Meanwhile, {actor0} and {actor1} share a passionate kiss, their lips locked in a sensual and romantic embrace, as {actor1} sits on the bed, her feet dangling above the floor."
"\N","A_bed2_S2","{actor0} is standing with his feet on the ground, while {actor1} is standing with her feet on the ground, bent over. She's giving him a blowjob, her mouth wrapped around his dick, as she simultaneously pats his head with her hand."
"\N","A_bed2_S3","{actor0} is standing at the bedside, his feet firmly on the ground, as he enters {actor1} from behind, his penis thrusting into her vulva in a passionate vaginalsex act. Meanwhile, he's got a firm grip on her arm, holding her in place as she bends over, her body arched in a sensual curve."
"\N","A_bed2_S4","{actor0} is sitting on the bed with his feet planted firmly on the ground, while {actor1} is standing in front of him, bent over with her feet shoulder-width apart. She's got her mouth wrapped around his stiff cock, sucking him off in a sensual blowjob."
"\N","A_bed2_S5","{actor0} sits on the bed with his feet on the ground, while {actor1} stands in front of him, her feet also planted firmly on the ground. {actor0} is pounding into {actor1} with his dick, thrusting into her pussy, as he holds onto her arm."
"\N","A_bed2_S6","{actor0} is sitting on the bed with his feet on the ground, his penis inside {actor1}'s vulva as she squats over him, her feet also on the ground. At the same time, {actor0} has his hand wrapped around {actor1}'s arm, holding it in place."
"\N","A_bed2_S7","{actor0} sits on the bed with his feet on the ground, his dick buried deep inside {actor1} as she squats over him, her vulva wrapped around his penis. As they both climax, {actor0} grasps {actor1}'s arm, holding her close."
"\N","Adult_bed_S1","{actor1} is kneeling over {actor0}, who's lying back on the bed, as she rides him in a cowgirl position, her vulva enveloping his erect penis in a passionate, sexual union."
"\N","Adult_bed_S2","{actor0} is sitting on the bed with his feet on the ground, while {actor1} is standing in front of him, facing away, as she rides his cock in a passionate vaginal sex act, taking control as the active performer."
"\N","Adult_bed_S3","{actor0} stands over the bed, his feet planted firmly on the ground, as he mounts {actor1} who lies on her back, their bodies entwined in a missionary position, with {actor0}'s cock thrusting into {actor1}'s pussy in a passionate, sexual connection."
"\N","Adult_bed_S4","{actor0} is standing at the bedside with his feet on the ground, his penis penetrating {actor1}'s vulva as she lies on her side, engaging in passionate vaginal sex."
"\N","Adult_bed_S6","{actor0} is standing behind {actor1} with his feet on the ground, his penis buried deep in her anus as they both reach a frenzying orgasm. {actor1} is bent over, her feet on the ground, facing away from {actor0} as he grips her neck with one hand, their bodies entwined in a intense, doggystyle pose."
"\N","Adult_Doggy2_S1","{actor0} stands behind {actor1}, who is on all fours, as he thrusts his cock into her pussy in a doggystyle position, simultaneously groping her butt with his hands."
"\N","Adult_bed_S5","{actor0} is standing behind {actor1}, who is bent over with her feet on the ground and her back to him, as he thrusts his penis into her anus from behind in a doggystyle position."
"\N","Adult_Doggy2_S2","{actor0} is kneeling behind {actor1}, who is on all fours with her feet on the ground and facing away from him, as he thrusts his dick into her pussy in a doggystyle position, his hands gripping her butt cheeks."
"\N","Adult_Doggy2_S3","{actor0} is kneeling behind {actor1}, who is on all fours facing away from him. He is penetrating her vagina with his cock while groping her butt with his hands."
"\N","Adult_Doggy2_S4","{actor0} is kneeling behind {actor1}, who is on all fours facing away from him, as he pounds into her vulva with his erect penis in a fierce doggystyle position, their bodies slamming together in a primal, sexual rhythm."
"\N","Adult_Doggy2_S5","{actor0} is squatting with his feet on the ground, his cock buried deep in {actor1}'s ass as she's on all fours, facing away from him."
"\N","Adult_Doggy2_S6","{actor0} is squatting with his feet on the ground, his cock thrusting into {actor1}'s ass from behind as she lies on her front, her face away from him, both of them reaching a fevered pitch as he climax."
"\N","adult_footjob_S2","{actor0} is kneeling next to {actor1}, who is lying on her side, as she uses her feet to stimulate his cock in a sensual footjob."
"\N","adult_footjob_S1","{actor0} is kneeling as {actor1} lies on her front, facing away from him, her feet wrapped around his throbbing cock, expertly rubbing him with her toes in a sensual footjob, her ankles flexing as she works to bring him to the edge."
"\N","adult_footjob_S4","{actor0} sits as {actor1} sits beside him, using her feet to stroke his erection in a sensual footjob, her toes wrapping around his shaft."
"\N","adult_footjob_S5","{actor0} sits as {actor1} gives him a footjob with her feet, wrapping them around his erection, while simultaneously holding onto his foot with her hand."
"\N","adult_footjob_S3","{actor0} is sitting, while {actor1} is seated across from him, her foot firmly planted in his crotch, toes curled around his shaft as she gives him a sensual footjob. At the same time, {actor0}'s lips wrap around her other foot, his mouth tracing gentle, sucking kisses along her toes in a sensual exploration, as he receives pleasure from her skilled footwork."
"\N","adult_footjob_S6","{actor0} lies back, his body tensed up as he reaches orgasm, while {actor1} sits on top of him, her feet wrapped around his throbbing cock, vigorously rubbing it to bring him to a explosive cum."
"\N","Adult_LS_S2","{actor0} is on all fours, while {actor1} lies on her side, as they engage in a passionate sexual encounter, with {actor0}'s stiff dick thrusting into {actor1}'s wet pussy."
"\N","Adult_LS_S1","{actor0} is on his knees, masturbating his dick as he receives a gentle head pat from {actor1}, who is lying on her side, her hand casually stroking his hair."
"\N","Adult_LS_S3","{actor0} is on all fours, his dick thrusting in and out of {actor1}'s pussy as she lies on her side, their lips locked in a passionate, sensual kiss, the romantic tension between them palpable as they engage in intense vaginal sex."
"\N","Adult_LS_S4","{actor0} is squatting between {actor1}'s spread legs as he thrusts his cock into her pussy, holding one of her legs in the process, while {actor1} lies on her side, her legs akimbo."
"\N","Adult_LS_S5","{actor0} is kneeling, his penis deep inside {actor1}'s vulva as they engage in passionate vaginal sex. Meanwhile, he's holding {actor1}'s arm, her legs spread wide as she kneels, her body fully exposed to him."
"\N","Adult_LS_S6","{actor0} is squatting with his feet on the ground, thrusting into {actor1} from behind in doggystyle position as she's on all fours, facing away, their bodies locked in a passionate vaginal sex act, while he's in the midst of a intense orgasm, and with one of his hands, he's holding onto her body."
"\N","adult_matingpress_S1","{actor0} is squatting between {actor1}'s legs, his cock buried deep inside her pussy as she lies back, their bodies locked in a missionary position, the air thick with the intensity of their passionate vaginal sex."
"\N","adult_matingpress_S2","{actor0} is squatting with his feet on the ground, thrusting his cock into {actor1}'s pussy as she lies back, her legs wrapped around him in a missionary position, receiving him with each deep penetration."
"\N","adult_matingpress_S3","{actor0} is squatting between {actor1}'s legs, thrusting his cock into her pussy as she lies back with her feet on the ground, her body arched in pleasure as they engage in a passionate missionary-style vaginal sex act."
"\N","adult_matingpress_S4","{actor0} is squatting, his feet planted firmly on the ground, as he engages in vaginal sex with {actor1}, who is lying back. He is thrusting his penis into her vulva, the action intensely sexual in nature."
"\N","adult_matingpress_S5","{actor0} is squatting with his feet on the ground, thrusting into {actor1} who is lying back beneath him, his cock buried deep in her pussy as he reaches orgasm."
"\N","adultmissionary_S1","{actor1} sits on the ground with her feet flat, watching as {actor0} kneels in front of her, masturbating with his hand stroking his shaft. At the same time, {actor1} teases {actor0}, building his anticipation."
"\N","adultmissionary_S2","{actor0} is on all fours while {actor1} sits beneath him, his throbbing dick penetrating her pussy in a missionary	position, as they engage in steamy vaginal sex, their bodies connected in a passionate embrace."
