"ostim_id","sexlab_id","description"
"OARE_AceStandingTittyfuck","\N","{actor0} stands tall, his erect cock buried in {actor1}'s mouth as she kneels before him, her lips wrapped around his shaft, performing a sloppy boobjob."
"OARE_AceStandingBoobjob_AfterClimax","\N","{actor0} stands tall, while {actor1} kneels before him, both of them engaging in heavy, anticipatory breathing, clearly eager for their next erotic encounter."
"OARE_AceStandingBoobjob","\N","{actor0} stands upright, his erect cock squeezed between {actor1}'s breasts as she gives him a titjob, her knees bent in a kneeling position."
"OARE_AceLyingTitfuck","\N","{actor0} lies back while {actor1} sits on top of him, her breasts enveloping his erection as she gives him a titjob, her soft flesh stimulating his penis as he actively thrusts into her cleavage."
"OARE_AceLyingBoobjob","\N","{actor0} lies back while {actor1} sits on top of him, giving him a sexual boobjob with her breasts wrapped around his stiff dick."
"OARE_AceLyingFingering","\N","{actor0} is lying on their side, fingers plunged into {actor1}'s slit as she lies back, receiving a erotic vaginal fingering."
"OARE_AceStandingBoobjob_MaleClimax","\N","{actor0} is standing, ejaculating, as {actor1} kneels before him, her mouth wrapped around his cock, performing a sexual boobjob, her breasts stimulated by his thrusts."
"OARE_AceLyingBoobjob_AfterClimax","\N","{actor0} lies back, while {actor1} sits beside him, both of them sharing a moment of anticipation, their audible breathing a testament to their eagerness for their next intimate encounter."
"OARE_AceRearKneelingSex","\N","{actor0} is kneeling behind {actor1}, who's also on her knees, facing away from him, as he thrusts his dick into her pussy in a passionate, sexual vaginal sex act."
"OARE_ActionFemaleCaressHoldHands","\N","{actor0} and {actor1} are standing face to face, simply standing there, not doing anything in particular."
"OARE_ActionMaleKiss","\N","{actor0} and {actor1} stand facing each other, their lips locked in a passionate, romantic, and sensual kiss."
"OARE_CowgirlCircularGrind","\N","{actor1} is sitting on top of {actor0}, who's lying back, as she rides him in a passionate cowgirl position, her vulva sliding up and down on his erect penis in a sensual, sexual rhythm."
"OARE_FemaleSquattingUndressMaleBottom","\N","{actor0} stands facing {actor1}, who is also standing, as they both engage in a moment of intimacy, with {actor1} letting out a breathy moan."
"OARE_GoBackStandingHandHolding","\N","{actor0} and {actor1} are standing facing each other, the tension between them is palpable as they pause in a moment of anticipation, the air thick with unspoken desire."
"OARE_FemaleAllFours","\N","{actor0} is kneeling, while {actor1} is positioned on all fours, facing away, as they both anticipate their next intimate encounter."
"OARE_CookingPotSexRaisedLeg","\N","{actor0} is standing behind {actor1}, who is bent over and facing away from him, as he pounds into her from behind, his penis thrusting into her vulva in a intense, sexual vaginalsex act."
"OARE_GropingFromBehind","\N","{actor0} stands behind {actor1}, who is also standing and facing away, as {actor0} reaches around to rub {actor1}'s clitoris while simultaneously groping her breasts with their hands."
"OARE_FSquatting_Fellatio","\N","{actor0} stands tall as {actor1} kneels before him, orally servicing his dick with a skilled blowjob."
"OARE_HJAndLicking","\N","{actor0} lies back while {actor1} lies beside him, their head bent down to lick his cock as they simultaneously jack him off with their hand, pleasuring his shaft with both their mouth and fingers."
"OARE_FSquatting_Handjob","\N","{actor0} is standing, while {actor1} kneels in front of him, stroking his shaft, giving him a handjob."
"OARE_GentleEmbrace","\N","{actor0} and {actor1} are standing together, cuddled up in a warm embrace."
"OARE_HoldingWaistKiss","\N","{actor0} and {actor1} stand facing each other, sharing a romantic and sensual kiss. They wrap their arms around one another, cuddling as they make out."
"OARE_MaleLyingHJ","\N","{actor0} lies back as {actor1} sits beside him, stroking his cock with a firm grip, giving him a handjob. Meanwhile, {actor1} teases {actor0}, building up the anticipation."
"OARE_LyingCuddlingApproachKiss","\N","{actor0} and {actor1} are lying on their sides, facing each other, engaged in a romantic and sensual kiss, cuddling together in a tender moment."
"OARE_AceStandingLotus","\N","{actor0} stands as he plunges his dick into {actor1}'s pussy, with her suspended in mid-air, her vulva open and receptive to his throbbing shaft."
"OARE_AceRearKneelingSexVariation","\N","{actor0} is kneeling behind {actor1}, who is also on her knees facing away from him, as he thrusts his cock into her pussy in a sexual vaginalsex act."
"OARE_BenchBothSittingKiss","\N","{actor0} and {actor1} sit together on a bench, sharing a passionate, sensual kiss, their lips locked in a romantic embrace as they eagerly anticipate their next intimate encounter."
"OARE_AceStandingHandjob","\N","{actor0} stands upright, his erect cock in hand of {actor1}, who is also standing, as they engage in a sexual handjob, with {actor1} vigorously stroking {actor0}'s shaft."
"OARE_ActionFemaleCaressCheekStroke","\N","{actor0} and {actor1} are standing facing each other, both of them in a neutral stance, not engaging in any physical activity."
"OARE_CookingTogetherNeckKiss","\N","{actor0} is sitting, while {actor1} stands beside them, leaning in as {actor0} gently kisses their neck in a sensual and romantic gesture, the two of them cuddling in front of the cooking pot."
"OARE_BenchSitting","\N","{actor0} and {actor1} sit side by side on the bench, cuddled up together in a gentle, idle embrace, savoring each other's company as they anticipate their next intimate encounter."
"OARE_ButtjobFromBehind","\N","{actor0} is standing behind {actor1}, who is also standing with their back facing {actor0}. {actor0} is thrusting their erection into {actor1}'s rear, actively pounding them from behind in a intense buttjob."
"OARE_CowgirlKneesOnGround","\N","{actor1} is riding {actor0} in a cowgirl position, kneeling over him as he lies back, his penis buried deep inside her vulva, while she actively grinds and thrusts, fully in control of the passionate vaginal sex."
"OARE_ChairMaleSittingSexVariation","\N","{actor0} sits in the chair, while {actor1} stands in front of them, facing away, as she rides {actor0}'s cock in a steamy vaginal sex act, taking control as the active performer."
"OARE_GoToStandingHoldingFromBehind","\N","{actor0} stands facing {actor1}, who stands with their back to them, as they pause in a moment of anticipation."
"OARE_FemaleUndressMaleTorso_Pt1","\N","{actor0} and {actor1} are standing face to face, almost embracing, in an intimate, open-mouthed kiss, with their lips pressed against each other."
"OARE_DevourVampireBiteFemaleSitting","\N","{actor0} is sitting, while {actor1} is also sitting, leaning in to sink their fangs into {actor0}'s neck in a seductive and sensual vampire bite, sending shivers down their spine."
"OARE_GoBackStandingHolding","\N","{actor0} and {actor1} are standing, facing each other in a neutral pose, not actively engaging in any intimate activity. The atmosphere is quiet, with no indication of escalating tension or romantic interest."
"OARE_FKneeling_FellatioHoldingLegs","\N","{actor0} stands tall, his Hard-on shoved deep into {actor1}'s willing mouth as {actor1} kneels before him, expertly sucking his cock in a sloppy, passionate blowjob."
"OARE_KneelingCL","\N","{actor0} is kneeling, face buried in {actor1}'s vulva, performing oral sex on her as she stands."
"OARE_AceBackItUp","\N","{actor0} is kneeling behind {actor1}, who's on all fours, facing away from him, as he thrusts his cock into her pussy in a steamy doggystyle position, with {actor1} taking charge as the active participant, driving the vaginal sex forward."
"OARE_ActionFemaleKiss","\N","{actor0} and {actor1} stand face to face, their lips locked in a romantic and sensual kiss."
"OARE_CookingTogetherEyeContact","\N","{actor0} is sitting by the cooking pot, while {actor1} is standing beside them, cuddling and enjoying a tender moment together."
"OARE_ActionFemaleFlirt","\N","{actor0} and {actor1} stand facing each other, not engaging in any physical activity at the moment."
"OARE_CookingTogether","\N","{actor0} is sitting at the cooking pot, while {actor1} is standing next to them, with their arms wrapped around each other in a warm cuddle."
"OARE_DoggystylePressingDown","\N","{actor0} is kneeling behind {actor1}, who is on all fours facing away from him, as he thrusts his cock into her pussy in a doggystyle position, engaging in intense vaginal sex."
"OARE_KneelingTongueFellatio","\N","{actor0} stands tall as {actor1} kneels before him, wrapping their lips around his erection, licking and sucking his shaft in a sensual oral sex act."
"OARE_CowgirlSquattingHandsOnBreasts","\N","{actor1} is kneeling over {actor0}, who's lying back, as she rides him in a cowgirl position, her vulva sliding up and down his shaft. At the same time, she's fondling her own breasts, her hands cupping and squeezing them in a sensual caress."
"OARE_BenchEarLickingHJ","\N","{actor1} is sitting on the bench, jerking off {actor0}'s cock, while simultaneously licking {actor0}'s ear. {actor0} is sitting beside them, receiving the handjob and the sensual ear licking."
"OARE_BenchIdleBothSitting","\N","{actor0} and {actor1} are sitting side by side on a bench, both idle and not currently engaging in any sex acts, merely sitting in anticipation of their next erotic encounter."
"OARE_DevourDrainedFemaleStanding","\N","{actor0} stands tall, patiently waiting for the next move, while {actor1} stands beside them, looking a bit drowsy but still ready to go. The atmosphere is idle, with no active sex actions happening at the moment, as they both anticipate their next erotic encounter."
"OARE_BenchSideBySideHJ","\N","{actor0} is sitting on a bench, while {actor1} is sitting next to him, stroking his cock with her hand, giving him a sensual handjob. At the same time, {actor1} is teasing {actor0}, building up the anticipation."
"OARE_CunnilingusRearHeadHeld","\N","{actor0} is kneeling in front of {actor1}, who is standing, and is going down on her, licking her pussy with their tongue, performing a passionate oral sex act, devouring her vulva with their eager mouth as {actor1} stands above."
"OARE_ChairMaleSittingSex","\N","{actor0} sits in the chair while {actor1} stands facing away from him, her body bent as she grinds against his groin, actively riding his cock in a passionate vaginal sex session."
"OARE_GoToStandingHandHolding","\N","{actor0} and {actor1} are standing facing each other, their bodies inches apart, the air thick with anticipation."
"OARE_GoToReverseMountedFemale","\N","{actor0} lies back, while {actor1} kneels beside them, poised in a state of anticipation, with no active action taking place between them. The scene is momentarily still, frozen in a state of transition."
"OARE_DoggystyleLoweredTorso","\N","{actor0} is kneeling behind {actor1}, who is on all fours facing away from him, as he thrusts his cock into her pussy in a doggystyle position."
"OARE_GoToStandingHolding","\N","{actor0} and {actor1} are standing facing each other, their bodies inches apart, anticipation hanging in the air as they pause in a moment of transition, neither one making a move just yet."
"OARE_FKneeling_Fellatio","\N","{actor0} is standing tall while {actor1} is on their knees, their mouth wrapped around {actor0}'s shaft, performing an intense oral job, sucking his hard dick with enthusiasm."
"OARE_HoldingChin","\N","{actor0} and {actor1} are standing together, embracing each other in a warm cuddle."
"OARE_FKneeling_MasturbationToFace","\N","{actor0} is standing, masturbating his cock with one hand, while {actor1} kneels in front of him, gasping for air as {actor0} reaches climax, ejaculating onto {actor1}'s face."
"OARE_FKneeling_MasturbationToFaceHoldHead","\N","{actor0} is standing, rubbing his penis against {actor1}'s face, who is kneeling in front of him, as he grinds his groin against their cheek."
"OARE_HandjobKiss","\N","{actor0} and {actor1} stand facing each other, their lips locked in a romantic and sensual kiss. At the same time, {actor1}'s hand wraps around {actor0}'s shaft, stroking it in a slow, deliberate motion, as she gives him a handjob."
"OARE_GoToDevourVampireBiteFemaleStanding","\N","{actor0} and {actor1} are standing facing each other, paused in a moment of stillness, their bodies inches apart."
"OARE_GoToReverseCowgirlMounted1","\N","{actor0} is lying back, while {actor1} is kneeling beside them."
"OARE_HoldingChinKiss","\N","{actor0} and {actor1} stand facing each other, wrapped in a romantic and sensual kiss, their bodies pressed together as they cuddle, lost in the moment."
"OARE_GoBackDevourVampireBiteFemaleStanding","\N","{actor0} is standing still, looking a bit drowsy, while {actor1} stands nearby, both of them seemingly paused in a moment of transition, without any sexual action happening."
"OARE_GropingButtKissOA","\N","{actor0} and {actor1} stand facing each other, their lips locked in a romantic and sensual kiss. Meanwhile, {actor0}'s hands are on {actor1}'s butt, sensually groping them as they continue to make out."
"OARE_FSquatting_FellatioHoldHead","\N","{actor0} stands tall, his cock buried in {actor1}'s mouth as they kneel before him, their lips wrapped around his shaft. At the same time, {actor0} grasps the back of {actor1}'s head, holding it in place as they perform the blowjob."
"OARE_LyingOnSideSex","\N","{actor0} is kneeling beside {actor1}, who is lying on her side, as he thrusts his cock into her pussy in a passionate and intimate vaginal sex act."
"OARE_MaleBatheInKneeDeepWater","\N","{actor0} stands idle, his erect cock at the ready, anticipating his next erotic encounter."
"OARE_LyingCuddlingApproachMount","\N","{actor0} and {actor1} are lying side by side, cuddled up together in a comfortable position, enjoying each other's warm presence."
"OARE_ActionMaleCaressCheekStroke","\N","{actor0} and {actor1} are standing facing each other, both in a neutral stance, with no physical interaction between them."
"OARE_CookingPotMaleApproach","\N","{actor0} is sitting at the cooking pot, while {actor1} is standing next to them, both seemingly idle and awaiting their next erotic encounter."
"OARE_CookingPotKissGropeBreasts","\N","{actor0} and {actor1} are standing at the cooking pot, locked in a romantic and sensual kiss. Meanwhile, {actor0} is sensually groping {actor1}'s breasts, with {actor1} facing away from them."
"OARE_DevourDrainedMaleStanding","\N","{actor0} is standing, looking a bit drowsy, while {actor1} stands beside them, both seemingly idle and waiting for their next erotic encounter."
"OARE_CowgirlSquattingHandsOnHead","\N","{actor0} lies back as {actor1} kneels over him, her knees straddling his waist, and rides him, her vulva sliding along his erect penis as they engage in passionate vaginal sex."
"OARE_CowgirlKneesLetGo","\N","{actor1} is kneeling over {actor0}, who's lying back, as she rides him in a cowgirl position, her vulva enveloping his penis in a passionate, sexual vaginalsex act."
"OARE_BenchSittingSex","\N","{actor0} and {actor1} are sitting on the bench, with {actor0} penetrating {actor1}'s vulva with his penis, engaging in a sexual act of vaginal intercourse."
"OARE_CowgirlPushLegsUp","\N","{actor1} is kneeling over {actor0}, who's lying back, as she impales herself on his stiff cock in a passionate cowgirl position, taking full control of the intense vaginal sex, her movements slow and deliberate as she grinds against him."
"OARE_CookingPotSexNoHands","\N","{actor0} is standing behind {actor1}, who is bending over and facing away, as he thrusts his cock into her pussy, engaging in a passionate sexual encounter."
"OARE_GropingBreastsFromBehind","\N","{actor0} is standing, sensually groping {actor1}'s breasts with their hands as she stands facing away from them."
"OARE_ChairKneelingFemale","\N","{actor0} sits idle in the chair, while {actor1} stands beside them, both anticipating their next erotic engagement. The atmosphere is filled with expectation, their bodies poised for a sensual encounter."
"OARE_GoToReverseCowgirlMounted2","\N","{actor0} is lying back, while {actor1} is kneeling beside them, in a moment of calm and stillness."
"OARE_DoggystyleMaleSquatting","\N","{actor0} kneels behind {actor1} as she assumes the all fours position, facing away from him, and enters her from behind in doggystyle, engaging in a passionate vaginal sex act with her vulva enveloping his erect penis."
"OARE_GoToDevourVampireBiteMaleStanding","\N","{actor0} and {actor1} are standing facing each other, their bodies inches apart, the tension between them palpable as they pause in a moment of anticipation, waiting for something to happen next."
