"ostim_id","sexlab_id","description"
"OA3PP_3PBentOverHoldF2","\N","{actor0} is kneeling, {actor1} is also on their knees, while {actor2} is positioned on all fours, with all three participants paused in anticipation of their next sexual encounter."
"OA3PP_3PBentOverHJ","\N","{actor0} is kneeling, while {actor1} is also kneeling, pleasuring {actor0}'s cock with a handjob. Nearby, {actor2} is positioned on all fours, waiting with bated breath, as all three of them engage in heavy breathing, eagerly anticipating their next sexual escapade."
"OA3PP_3PBackAndFingering_Climax","\N","{actor0} is kneeling, thrusting his cock into {actor2}, who is on all fours, as he simultaneously fingers {actor1}'s pussy, also on all fours, who is heavily breathing."
"OA3PP_3PSittingIdle","\N","{actor0}, {actor1}, and {actor2} are all seated, anticipating their next sexual escapade, their genitals currently dormant, awaiting further activity."
"OA3PP_3PSpooningSleeping","\N","{actor0} is lying back on the ground, while {actor1} and {actor2} lie on their sides next to them, all three of them fast asleep, with {actor1} and {actor2} occasionally letting out soft snores."
"OA3PP_3PSpooningSleepingEmbrace","\N","{actor0} lies back, sleeping soundly with {actor1} and {actor2} snuggled up beside, both of them sleeping and softly snoring, their bodies tangled together in a warm, intimate cuddle."
"OA3PP_3PBoobjob","\N","{actor0} lies back as {actor1} and {actor2} kneel beside him, each taking turns to deliver a blowjob, their mouths wrapping around his cock in a heated, simultaneous boobjob session, with {actor1} starting to breathe heavily."
"OA3PP_3PSittingHoldingKissF2","\N","{actor0} and {actor1} sit beside each other, while {actor2} sits close to them. {actor2} passionately kisses {actor0}, as {actor1} gently kisses {actor0}'s neck, adding to the sensual and romantic atmosphere."
"OA3PP_3PBackAndFingeringF2","\N","{actor0} is kneeling behind {actor1}, who's on all fours, and is thrusting his cock into her soaking wet pussy. At the same time, he's also fingering {actor2}'s vagina, who's also on all fours nearby, while she's heavily breathing, clearly turned on."
"OA3PP_3PBentOverGrope","\N","{actor0} is kneeling, reaching out to grope {actor1}'s butt in a sensual manner, while also groping {actor2}'s butt, as {actor2} sits beside {actor1}, breathing heavily."
"OA3PP_3PComeInMouths","\N","{actor0} is standing, furiously stroking his cock as he prepares to unleash a load. Meanwhile, {actor1} and {actor2} are both kneeling before him, their tongues hanging out of their mouths in anticipation. As {actor0} reaches his peak, he cums simultaneously on the faces of {actor1} and {actor2}, covering them in his warm, sticky semen. {actor1} is breathing heavily, clearly turned on by the intensity of the moment."
"OA3PP_3PLyingFellatioAndKiss","\N","{actor0} is lying back while {actor1} is kneeling beside him, giving him a blowjob, their mouth wrapped around his cock. At the same time, {actor2} is sitting next to them, sharing a passionate kiss with {actor0}."
"OA3PP_3PMaleLyingHJPlusTouchingBreasts","\N","{actor0} lies back, his dick in {actor1}'s hand as they give him a handjob. At the same time, {actor0}'s hands are wrapped around {actor2}'s breasts, groping them sensually."
"OA3PP_3PMatingPressF2","\N","{actor0} squats over {actor2}, who lies back, as he thrusts his cock into her pussy, their bodies entwined in a passionate, sexual embrace. Meanwhile, {actor1} lies back nearby, her chest heaving with heavy breathing, her eyes fixed intently on the intense scene unfolding before her."
"OA3PP_3PProneSexF1GropingF2","\N","{actor0} kneels between the two women, his erect cock plunging into {actor2}'s wet vulva as she sits with her legs parted. At the same time, he reaches out to {actor1}, who sits beside them, and squeezes her buttocks with his hands, sending shivers down her spine. {actor2}'s heavy breathing fills the air as she's pierced by {actor0}'s throbbing shaft."
"OA3PP_3PSittingFellatioPlusKissing","\N","{actor0} is sitting, his penis buried in {actor1}'s mouth as they kneel before him, enthusiastically giving him a blowjob. At the same time, {actor2} sits beside him, locking lips in a passionate, sensual kiss with {actor0}."
"OA3PP_3PBentOver","\N","{actor0}, {actor1}, and {actor2} are all sitting, seemingly idle, with no one actively engaging in any sex acts at the moment, visibly anticipating their next erotic encounter."
"OA3PP_3PBackAndKissing","\N","{actor0} is on his knees, thrusting his hard cock into {actor1} from behind in doggystyle position, while {actor1} is also on her knees, actively bouncing back against him, her vulva enveloping his shaft. At the same time, {actor2} is on all fours beside them, passionately kissing {actor0}, their lips locked in a sensual, romantic kiss."
"OA3PP_3PCowgirlPlusKissing","\N","{actor1} is kneeling over {actor0}, who's lying back, as she rides him in a cowgirl position, her vulva enveloping his erect penis in a sensual, sexual union. Meanwhile, {actor2} sits beside them, locking lips with {actor0} in a romantic, passionate kiss."
"OA3PP_3PLyingTogetherIdleKissF1","\N","{actor0} is lying back, while {actor1} is lying on top, facing them, and they're engaged in a passionate, sensual kiss. Meanwhile, {actor2} is lying on their side, observing the intimate moment between {actor0} and {actor1}, all three of them seemingly anticipating their next erotic encounter."
"OA3PP_3PLyingMaleFemaleApproach","\N","{actor0} is lying back, relaxed, while {actor1} and {actor2} sit nearby, anticipation etched on their faces as they wait for the action to begin. The air is thick with expectation, but for now, they simply bask in the quiet tension, ready to jump into the next erotic escapade."
"OA3PP_3PMatingPressF2Embrace","\N","{actor0} is squatting between the legs of {actor2}, who is lying back, as he thrusts his cock into her pussy while sharing a passionate kiss with her. Meanwhile, {actor1} lies back beside them, her breathing heavy with arousal, seemingly turned on by the intense scene unfolding before her."
"OA3PP_3PMaleLyingHJPlusHandholding","\N","{actor0} lies back, his cock being jerked off by {actor1} who's sitting beside him, while {actor2} sits next to them, gently holding {actor0}'s hand in a romantic gesture. Meanwhile, {actor1} teases {actor0}, and {actor1} themselves are breathing heavily, clearly turned on."
"OA3PP_3PSittingHoldingKiss1","\N","{actor0} is sitting with {actor1} gently kissing their neck in a romantic and sensual manner, while {actor2} is sitting alongside, sharing a romantic and sensual kiss with {actor0}."
"OA3PP_3PSpreadLegs","\N","{actor0} is kneeling on the floor, while {actor1} and {actor2} are lying back with their legs spread wide, all three seemingly paused in anticipation of what's to come next."
"OA3PP_3PSpooningSleepingSuggestive","\N","{actor0} lies back on the ground, while {actor1} and {actor2} snuggle up beside him, both lying on their sides. The trio is fast asleep, with {actor1} and {actor2} sleeping soundly, their gentle snores filling the air."
"OA3PP_3PSpreadLegsLickF1","\N","{actor0} is squatting between {actor1} and {actor2}, both of whom are lying back. He's burying his face in {actor1}'s vulva, his tongue darting in and out as he licks her, while his fingers are plunged deep into {actor2}'s pussy, fingering her vigorously. {actor2} is panting heavily, her chest heaving with ragged breaths."
"OA3PP_3PStandingCuddle_Conflict","\N","{actor0}, {actor1}, and {actor2} are standing side by side, with {actor0} holding hands with both {actor1} and {actor2} in a romantic gesture. The air is charged with anticipation as they engage in heavy breathing, all three of them seemingly eager for their next erotic escapade."
"OA3PP_3PStandingBackF2Masturbation","\N","{actor0} is standing, while {actor1} is standing, bent over, facing away from him, as he penetrates her vagina with his cock. At the same time, {actor2} is standing, furiously rubbing her clit, her breathing quickening to a labored pace as she works herself up to a frenzy alongside the other two."
"OA3PP_3PAtopEachOther","\N","{actor0} is kneeling, while {actor1} is reclining on their back nearby. Meanwhile, {actor2} is positioned on all fours, all of them paused in anticipation, awaiting the next move."
"OA3PP_3PMatingPressF1","\N","{actor0} is squatting over {actor1}, who's lying back, as he thrusts his cock into her pussy in a heated sexual encounter. Meanwhile, {actor2} lies back beside them, her chest heaving with heavy breathing."
"OA3PP_3PMissionaryF1","\N","{actor0} kneels between {actor1}, who's lying back, and thrusts his cock into her pussy as they engage in passionate vaginal sex. At the same time, {actor0} fingers {actor2}'s vagina, while she lies back, her chest heaving with heavy breathing."
"OA3PP_3PSittingHolding","\N","{actor0} is sitting on the couch, while {actor1} and {actor2} sit beside them, all three idly waiting for the moment to ignite their passion."
"OA3PP_3PMStandingFKneeling","\N","{actor0} is standing upright with their feet firmly on the ground, while {actor1} and {actor2} are both on their knees, eagerly anticipating their next move in the scene. No one is actively engaged in a sex act at this moment, as they pause in a state of idle anticipation."
"OA3PP_3PBackAndFingeringF2_Climax","\N","{actor0} kneels behind {actor1}, who's on all fours, and thrusts his cock into her pussy as {actor2}, also on all fours, gets her vulva fingered by {actor0}'s hands, while she's heavily breathing."
"OA3PP_3PLyingTogetherIdle","\N","{actor0} was lying back, while {actor1} and {actor2} were lying on their sides next to them, all three just chillin' together, waiting for the right moment to kick things up a notch. The anticipation was palpable as they lounged there, ready to spring into action whenever the opportunity arose."
"OA3PP_3PMaleLyingTongueFellaPlusKissing","\N","{actor0} lies back as {actor1} sits beside him, their mouth wrapped around his dick, sucking and licking his hardness. At the same time, {actor2} sits on the other side, sharing a passionate kiss with {actor0}, their lips locked in a sensual and romantic embrace."
"OA3PP_3PMaleLyingHJ","\N","{actor0} lies back as {actor1} and {actor2} sit beside him, both of them teasing him. {actor1} is groping {actor0}'s balls while {actor2} gives him a handjob, sending {actor0} into a frenzy of pleasure. Meanwhile, {actor1} is getting turned on and breathing heavily, clearly enjoying the erotic moment."
