"ostim_id","sexlab_id","description"
"AnubsA69-1","Anubs_a_69_S1","{actor1} is on her knees, while {actor0} lies back, his hand slipped between her thighs, his fingers probing her vulva, as his other hand squeezing her buttocks, rubbing her from behind."
"AnubsA69-2","Anubs_a_69_S2","{actor0} lies back as {actor1} kneels over him, her back facing him. She gives him a handjob while he performs cunnilingus on her without using his tongue, both acts happening simultaneously in a 69 position."
"AnubsA69-3","Anubs_a_69_S3","{actor1} is on all fours, facing away from {actor0}, while {actor0} lies back with his feet on the ground. {actor0} is giving {actor1} a rimjob with his tongue, as {actor1} simultaneously gives {actor0} a boob job, rubbing her breasts against his penis."
"AnubsA69-4","Anubs_a_69_S4","{actor0} lies back with his feet on the ground, while {actor1} kneels over him, facing away, and gives him a blowjob, her mouth wrapped around his cock as she performs oral sex."
"AnubsA69-5","Anubs_a_69_S5","{actor0} is lying back with his feet on the ground and {actor1} is on all fours above him, facing away. {actor1} is giving {actor0} a blowjob with her mouth on his penis, while {actor0} simultaneously fingers {actor1}'s vulva with his hand."
"AnubsA69-6","Anubs_a_69_S6","{actor0} lies back with his feet on the ground, his cock being deepthroated by {actor1}, who is on all fours facing away from him. As she orally satisfies him, {actor1} simultaneously masturbates her own vulva, bringing herself to a climax alongside {actor0}, who is also reaching his orgasmic peak."
"AnubsAAmazon-1","Anubs_a_amazon_S1","{actor1} is kneeling over {actor0}, facing away from him as she sits on his face, her vulva pressed against his mouth, while {actor0} lies back, his tongue licking and teasing her asshole in a passionate rimjob."
"AnubsAAmazon-2","Anubs_a_amazon_S2","{actor1} sits on top of {actor0}, who lies back, as she grasps his cock and strokes it with her hand, giving him a firm handjob."
"AnubsAAmazon-3","Anubs_a_amazon_S3","{actor1} is squatting over {actor0}, who's lying back, as she takes control in a dominant cowgirl position. {actor1} is actively riding {actor0}'s erect cock, her feet planted firmly on the ground, while she grasps {actor0}'s leg with her hand."
"AnubsAAmazon-4","Anubs_a_amazon_S4","{actor1} is squatting over {actor0}, who's lying back, as she rides him in a dominant cowgirl position, her feet planted firmly on the ground. She's actively grinding her vulva onto his penis while holding onto his thigh, taking control of the intense, sexual vaginal sex."
"AnubsAAmazon-5","Anubs_a_amazon_S5","{actor1} is squatting over {actor0}, who's lying back, as she rides him in a cowgirl position, her vulva sliding up and down on his erection, taking control in this femdom encounter."
"AnubsAAmazon-6","Anubs_a_amazon_S6","{actor1} is squatting over {actor0}, who's lying back, as she rides him in a cowgirl position, her feet flat on the ground. Meanwhile, {actor1} is holding {actor0}'s foot, her hand grasping his ankle, as he reaches his orgasm, his cock thrusting into her pussy in a frenzied, sexual tempo."
"AnubsAanaldoggy-1","Anubs_Aanaldoggy_S1","{actor0} is standing behind {actor1}, who is on all fours facing away from him, as he thrusts his stiff dick into her puckered anus from behind in a doggystyle position, engaging in a passionate buttjob."
"AnubsAanaldoggy-2","Anubs_Aanaldoggy_S2","{actor0} is standing behind {actor1} who is on all fours, his stiff penis thrusting into her anus in a doggystyle position as they engage in anal sex."
"AnubsAanaldoggy-3","Anubs_Aanaldoggy_S3","{actor0} stands behind {actor1}, his erection buried deep within her anus as she's positioned on all fours, facing away from him, her butt raised high in the air, actively taking control of the anal sex."
"AnubsAanaldoggy-4","Anubs_Aanaldoggy_S4","{actor0} is standing behind {actor1}, who is on all fours with her feet on the ground and facing away from him, as he pounds into her from behind in a doggystyle position, his penis thrusting into her anus."
