"ostim_id","sexlab_id","description"
"BillyyFj-3","B_B_FJ_S3","{actor0} lies back as {actor1} sits on top, her feet wrapped around his shaft, stroking his cock with her toes in a sensual footjob."
"BillyyMstandmast2-1","B_B_MStandMast2_S1","{actor0} is standing with his feet on the ground, stroking his own cock in a solo sexual act, lost in the pleasure of self-pleasuring."
"BillyyRevlotus2-2","B_B_RevLotus2_S2","{actor0} is kneeling, his penis thrusting into {actor1}'s vulva as she squats facing away from him, her body held firmly in place by his hands."
"BillyyMstandmast2-5","B_B_MStandMast2_S5","{actor0} is standing with his feet on the ground, furiously stroking his cock as he reaches a intense orgasm, his body shuddering in ecstasy as he ejaculates."
"BillyySitbj-2","B_B_SitBJ_S2","{actor0} stands with his feet on the ground while {actor1} sits, her mouth wrapped around his cock as she gives him a blow job, her lips and tongue working together in a sensual oral caress."
"BillyysHumanFmHub","\N","{actor0} and {actor1} stand facing each other, both with their feet firmly on the ground, anticipation palpable in the air as they await their next erotic encounter."
"BillyysGroupFmmmmHub","\N","{actor0}, {actor1}, {actor2}, {actor3}, and {actor4} are standing with their feet on the ground, all of them patiently waiting for the next move, their anticipation palpable as they prepare for their upcoming intimate encounter."
"BillyysGroupPage2","\N","{actor0}, {actor1}, and {actor2} stand idly, their feet firmly on the ground, anticipation hanging in the air as they await the next move in their upcoming sexual encounter."
"BillyyRevlotus2-3","B_B_RevLotus2_S3","{actor1} is squatting with her back to {actor0}, who is kneeling behind her, his cock buried deep in her pussy as she actively rides him. At the same time, {actor0} is sensually groping {actor1}'s boobs with his hands, while {actor1} gently pats {actor0}'s head with her hand."
"BillyySide-4","B_B_3pFFMDogSide_S4","{actor0} is kneeling between {actor1}'s spread legs as she lies on her side, his cock buried deep in her pussy as they engage in a passionate vaginal sex act."
"BillyySitbj-1","B_B_SitBJ_S1","{actor0} is standing with his feet on the ground while {actor1} is sitting, stroking his shaft with her hand, giving him a sensual handjob."
"BillyySpankstand-4","B_B_SpankStand_S4","{actor0} stands on the ground, while {actor1} is suspended in the air, bent over and facing away from him, her body arched in a provocative pose."
"BillyysOrgyFfmmHub","\N","{actor0}, {actor1}, {actor2}, and {actor3} stand idly, feet planted firmly on the ground, their anticipation palpable as they wait for the scene to escalate into something more intimate, their eyes locked on each other in expectation. The air is thick with tension, heavy with the promise of the forthcoming erotic encounter."
"BillyyDogbj-2","B_B_DogBJ_S2","{actor0} is kneeling, while {actor1} is on all fours, sucking his cock in a passionate oral session, her mouth wrapped around his throbbing shaft."
"BillyySpooningfacing-1","B_Billyy_SpooningFacing_S1","{actor0} lies back while {actor1} snuggles up beside him, lying on her side, and wraps her arms around him in a sensual one-sided hug. At the same time, {actor1} strokes {actor0}'s cock with her hand, giving him a sensual handjob."
"BillyySquat-2","B_B_Squat_S2","{actor0} is standing behind {actor1}, who's squatting with her back bent and facing away, as he penetrates her vulva with his erect penis in a doggystyle position, their bodies connected in a passionate vaginalsex act, while he wraps his arms around her in a sensual one-sided hug."
"BillyySkiss1-2","B_B_LSKiss1_S2","{actor0} and {actor1} stand facing each other, their feet planted firmly on the ground. They share a romantic and sensual kiss, their lips locked in a passionate embrace, as they simultaneously wrap their arms around each other in a tender and sensual hug, holding each other tight."
"BillyyStandbj-1","B_B_StandBJ_S1","{actor0} stands upright, his feet firmly on the ground, as {actor1} bends over in front of him, her mouth wrapped around his cock, orally pleasuring him in a passionate blowjob."
"BillyyFmast1-1","B_B_FMast1_S1","{actor0} is standing with her feet on the ground, masturbating, her fingers stimulating her own vulva in a sensual motion."
"BillyyFinger1-3","B_B_Finger1_S3","{actor0} is sitting on the floor, his feet planted firmly on the ground, as he stimulates {actor1}'s vulva with his fingers, while {actor1} sits facing away from him, her legs spread wide apart, allowing him access."
"BillyyStand-4","B_B_LAFingStand_S4","{actor0} is standing behind {actor1}, who is bent over with her feet on the ground, facing away from him. He's thrusting his cock into her pussy while holding onto her arm."
"BillyyStandbj-3","B_B_StandBJ_S3","{actor0} is standing with his feet shoulder-width apart, while {actor1} is standing in front of him, bent over with her mouth wrapped around his dick, sucking him off in a passionate blowjob."
"BillyyStand-5","B_B_LAFingStand_S5","{actor0} stands with his feet firmly on the ground, explosive orgasm ripping through his body as he thrusts into {actor1} from behind, his cock submerged deep in her pussy. At the same time, he reaches around to grope her breasts, his hands squeezing her boobs as she stands facing away from him, her own climax washing over her."
"BillyyStanda-4","B_B_CStandA_S4","{actor0} stands behind {actor1}, who is also standing but facing away from him, as he enters her from behind, his penis penetrating her anus. At the same time, he wraps his hand around her arm, holding it in place."
"BillyyStandface-4","B_B_StandFace_S4","{actor0} and {actor1} stand facing each other, with {actor0} thrusting his cock into {actor1}'s pussy as he holds onto her leg for balance."
"BillyyStanda-5","B_B_StandA_S5","{actor0} stands with his feet on the ground, his body tensed up as he reaches orgasm, while {actor1} stands facing away, her body also rigid as she climaxes. {actor0} is penetrating {actor1} anally from behind, his cock thrusting deep into her ass, as he wraps his arms around her, pulling her close in a sensual hug, his hand reaching up to gently grasp her chin, a romantic gesture amidst the intense passion."
"BillyyStandbj-6","B_B_StandBJ_S6","{actor0} is standing with his feet shoulder-width apart, his dick thrusting deep into {actor1}'s mouth as she bends over, her lips wrapped around his shaft in a deepthroat blowjob, while he holds her head in place with one hand, his body tensing up as he reaches orgasm, his cum erupting from his cock in a intense climax."
"BillyySthighf-1","B_B_SThighF_S1","{actor0} is standing, his feet planted firmly on the ground, as he buries his cock between {actor1}'s thighs, her back facing him, while he grasps her hip with one hand, his fingers digging gently into her skin."
"BillyyStandface-5","B_B_StandFace_S5","{actor0} and {actor1} are standing with their feet on the ground, both poised on the brink of orgasm as they share a passionate, sensual kiss. Meanwhile, {actor0}'s rock-hard cock is buried deep within {actor1}'s pussy, the intensity of their vaginal sex sending them both into a frenzy of pleasure. As they strain against each other, {actor0} wraps his arms tightly around {actor1}, pulling her close in a sensual hug."
"BillyySthighf-2","B_B_SThighF_S2","{actor0} is standing, his feet firmly on the ground, as he buries his dick between {actor1}'s thighs, actively thrusting against her. At the same time, he's got his hands all over her boobs, groping and fondling them, while {actor1} stands facing away from him, her feet also planted on the ground."
"BillyySthighf-3","B_B_SThighF_S3","{actor0} stands with his feet shoulder-width apart, his manhood pressed between {actor1}'s thighs as he actively thrusts, his hands gripping {actor1}'s butt cheeks in a sensual grope. Meanwhile, {actor1} wraps her arms around {actor0} in a one-sided hug, holding him close as she receives the thigh job."
