"ostim_id","sexlab_id","description"
"DrG_ETPaddon","\N","{actor0} is sitting on the couch, while {actor1} is standing next to them, both simply existing in the same space without any interaction."
"DrG_furnitureETP_Tab!Le_Sx_DragoStandingTableSex","\N","{actor0} stands with his feet on the ground, his erection deep inside {actor1} as they engage in intense vaginal sex, with him thrusting into her."
"DrG_furnitureETP_Tab!Le_BJ_DragoHandonHeadBJ","\N","{actor0} sits at the table, while {actor1} stands beside him, her feet planted firmly on the ground. She's actively sucking his cock, her mouth wrapped around his shaft as she performs an intense blowjob."
"DrG_furnitureETP_Tab!Le_Ap_DragoTableSpankIdle","\N","{actor0} stands with his feet shoulder-width apart, while {actor1} stands facing away from him, bent over with her ass in the air, her feet planted firmly on the ground. The two are paused, anticipating their next move, their bodies tense with anticipation."
"DrG_ETPTableSittingMaleHub","\N","{actor0} is standing with his feet on the ground beside the table, while {actor1} is sitting, both of them anticipating their next passionate encounter."
"DrG_furnitureETP_Tab!Le_Sx_DragoTableSexBiggerClimax0","\N","{actor0} is standing with his feet on the ground, climaxing as he takes {actor1} from behind in a doggystyle position, his hands grasping her butt as she bends over, facing away from him, her feet also on the ground. At the same time, he's thrusting his cock into her pussy, their bodies moving in sync."
"DrG_furnitureETP_Tab!Le_Ho_DragoTableSpank","\N","{actor0} is standing with his feet on the ground beside the table, while {actor1} is bent over, facing away from him, her body arched in a submissive stance, her hands likely grasping the table's edge for support. The scene is paused, a moment of transition, with anticipation hanging in the air."
"DrG_furnitureETP_Tab!Le_Sx_DragoTableShyLegsUpSex","\N","{actor0} stands with his feet on the ground, his dick buried deep inside {actor1}'s pussy as she lies back on the table, her legs wrapped around him in a passionate missionary position."
"DrG_furnitureETP_Tab!Le_Ap_DragoTableIdle","\N","{actor0} stands with his feet shoulder-width apart, his eyes fixed on {actor1} who is bent over in front of him, her feet on the ground and her back facing him, her ass arched and inviting."
"DrG_furnitureETP_Tab!Le_Sx_DragoTableSexBiggerClimax01","\N","{actor0} is standing behind {actor1}, who is bent over and facing away from him, her feet planted firmly on the ground as she reaches orgasm. He is pounding away in doggystyle position, his hands grasping her butt cheeks as he thrusts his stiff cock into her pussy."
"DrG_furnitureETP_Tab!Le_Sx_DragoTableSexHoldingArmsClimax0","\N","{actor0} is standing with his feet shoulder-width apart, climaxing as he takes {actor1} from behind in a doggystyle position, his penis thrusting into her vulva. Meanwhile, he's holding her arm with one hand, as she bends over, facing away from him, her feet on the ground."
"DrG_furnitureETP_Tab!Le_BJ_DragoSittingTableBJ","\N","{actor0} sits at the table, while {actor1} stands beside him, her feet planted firmly on the ground, as she leans in to give him a blowjob, her mouth wrapped around his cock, actively sucking and pleasuring him orally."
"DrG_furnitureETP_Tab!Le_Sx_DragoTableCowgirl","\N","{actor1} sits on top of {actor0}, who is seated at the table, as she rides him in a cowgirl position, her vulva sliding up and down on his erect penis, while {actor0} remains seated, allowing {actor1} to take control of the intense vaginal sex."
"DrG_furnitureETP_Tab!Le_Sx_DragoTableSex","\N","{actor0} is standing behind {actor1}, who is bent over with her feet on the ground, facing away from him, as they get into a doggystyle position at the table, with {actor0}'s penis thrusting into {actor1}'s vulva during intense vaginal sex."
"DrG_furnitureETP_Tab!Le_Sx_DragoTableSexBiggerPreset","\N","{actor0} is standing behind {actor1}, his rigid cock thrusting into her soaking wet pussy as she bends over the table, her feet planted firmly on the ground, facing away from him."
"DrG_furnitureETP_Tab!Le_Sx_DragoTableSexHoldingArmsClimax01","\N","{actor0} is standing behind {actor1}, who is bent over and facing away from him, her feet planted firmly on the ground as she reaches her orgasm. He is thrusting his cock into her pussy from behind in a doggystyle position, while simultaneously holding onto her arm with one hand."
"DrG_furnitureETP_Tab!Le_VJ_DragoLayingTableCunnilingus","\N","{actor0} is kneeling beside the table, his mouth buried between {actor1}'s spread legs as she lies back, her vulva exposed. He's actively devouring her, his tongue darting in and out of her pussy, performing a sultry mix of cunnilingus and licking, sending shivers down her spine."
"DrG_furnitureETP_Tab!Le_Sx_DragoTableSexMaleClimax","\N","{actor0} is standing with his feet on the ground, climaxing as he takes {actor1} from behind in a doggystyle position, his penis thrusting into her vulva. At the same time, he's holding onto her butt with his hands, his fingers digging into her skin as she bends over, facing away from him, her feet planted firmly on the ground."
"DrG_furnitureETP_Tab!Le_Sx_DragoTableSexHoldingArms","\N","{actor0} is standing behind {actor1}, who is bent over and facing away from him, her feet planted firmly on the ground. He is holding her arm with one hand while thrusting his cock into her pussy from behind in a doggystyle position."
