"id","x_personality"
"commander_maro","{""orientation"": ""heterosexual"", ""sexFantasies"": ["" Officesex with subordinate"", ""Sex while in Imperial armor""], ""sexualBehavior"": [""breast play"", ""nipple play"", ""public sex""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""dirty talk"", ""sexPersonalityTraits"": [""demanding"", ""possessive"", ""confident""], ""preferredSexPositions"": [""missionary"", ""doggy style"", ""standing""]}"
"dagur","{""orientation"": ""heterosexual"", ""sexFantasies"": [""outdoor sex"", ""roleplaying as a couple""], ""sexualBehavior"": [""breast play"", ""nipple play""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""sweet talk"", ""sexPersonalityTraits"": [""romantic"", ""gentle"", ""supportive""], ""preferredSexPositions"": [""missionary"", ""cowgirl"", ""spooning""]}"
"challenger","{""orientation"": ""heterosexual"", ""sexFantasies"": [""roleplaying as a powerful mage"", ""dominating a willing partner"", ""sex in a mystical, ancient ruin""], ""sexualBehavior"": [""cum play"", ""nipple play"", ""public sex""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""dominant talk"", ""sexPersonalityTraits"": [""confident"", ""aggressive"", ""possessive""], ""preferredSexPositions"": [""missionary"", ""standing"", ""oral""]}"
"constance_michel","{""orientation"": ""heterosexual"", ""sexFantasies"": [""romantic getaway"", ""candlelit dinner"", ""sensual massage""], ""sexualBehavior"": [""nipple play"", ""breast play""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""sweet talk"", ""sexPersonalityTraits"": [""sensual"", ""intimate"", ""emotional""], ""preferredSexPositions"": [""missionary"", ""spooning"", ""cuddling""]}"
"cedran","{""orientation"": ""heterosexual"", ""sexFantasies"": [""sex in a stable"", ""sex with a younger woman"", ""role-playing as a noble and a servant""], ""sexualBehavior"": [""breast play"", ""nipple play"", ""outdoor sex""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""sweet talk"", ""sexPersonalityTraits"": [""gentlemanly"", ""experienced"", ""loving""], ""preferredSexPositions"": [""missionary"", ""cowgirl"", ""rear entry""]}"
"daighre","{""orientation"": ""heterosexual"", ""sexFantasies"": [""romantic getaway with a lover"", "" passion in a secluded forest"", ""desire to be dominated and ravished by a strong partner""], ""sexualBehavior"": [""nipple play"", ""breast play"", ""cum tasting""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""sweet talk"", ""sexPersonalityTraits"": [""passionate"", ""intimate"", ""emotional"", ""guarded""], ""preferredSexPositions"": [""missionary"", ""spooning"", ""cuddle fuck""]}"
"dawnguard_novice_hakar","{""orientation"": ""heterosexual"", ""sexFantasies"": [""forced seduction"", ""being overpowered""], ""sexualBehavior"": [""nipple play"", ""breast play""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""breathless gasps"", ""sexPersonalityTraits"": [""submissive"", ""timid""], ""preferredSexPositions"": [""missionary"", ""doggie style""]}"
"colette_marence","{""orientation"": ""heterosexual"", ""sexFantasies"": [""sex in a library"", ""sex with a colleague"", ""secret affair""], ""sexualBehavior"": [""nipple play"", ""breast play"", ""cum tasting""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""sensual whispering"", ""sexPersonalityTraits"": [""passionate"", ""intimate"", ""romantic""], ""preferredSexPositions"": [""missionary"", ""cowgirl"", ""spooning""]}"
"chief_larak","{""orientation"": ""heterosexual"", ""sexFantasies"": ["" mating with a strong Orc woman in the wilderness"", ""defeating a rival tribe's chief and claiming his wife as a prize""], ""sexualBehavior"": [""breast play"", ""rough sex"", ""public sex""], ""relationshipStyle"": ""polyamorous"", ""speakStyleDuringSex"": ""dominant talk"", ""sexPersonalityTraits"": [""assertive"", ""aggressive"", ""dominant"", ""passionate"", ""possessive""], ""preferredSexPositions"": [""missionary"", ""standing"", ""doggy style""]}"
"east_empire_dockworker","{""orientation"": ""heterosexual"", ""sexFantasies"": [""outdoor sex"", ""sex with a dominant woman""], ""sexualBehavior"": [""nipple play"", ""cum licking"", ""breast play""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""sensual whispering"", ""sexPersonalityTraits"": [""assertive"", ""playful""], ""preferredSexPositions"": [""missionary"", ""standing""]}"
"drascua","{""orientation"": ""bisexual"", ""sexFantasies"": [""being worshipped as a powerful sorceress"", ""administering a ritualistic BDSM session"", ""having sex in a sacred ancient site""], ""sexualBehavior"": [""nipple play"", ""breast play"", ""outdoors sex""], ""relationshipStyle"": ""polyamorous"", ""speakStyleDuringSex"": ""dominant talk"", ""sexPersonalityTraits"": [""aggressive"", ""controlling"", ""sensual"", ""manipulative""], ""preferredSexPositions"": [""cowgirl"", ""reverse cowgirl"", ""doggy style""]}"
"endon","{""orientation"": ""heterosexual"", ""sexFantasies"": [""having sex in a secluded outdoor location with his wife"", ""being intimate with his wife in a luxurious bedroom""], ""sexualBehavior"": [""nipple play"", ""breast play"", ""outdoor sex""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""sweet talk"", ""sexPersonalityTraits"": [""romantic"", ""passionate"", ""affectionate""], ""preferredSexPositions"": [""missionary"", ""spooning"", ""cowgirl""]}"
"duach","{""orientation"": ""heterosexual"", ""sexFantasies"": [""forced sex"", ""prison sex"", ""rape fantasy""], ""sexualBehavior"": [""rough sex"", ""bondage"", ""cum play""], ""relationshipStyle"": ""open relationship"", ""speakStyleDuringSex"": ""dirty talk"", ""sexPersonalityTraits"": [""aggressive"", ""dominant"", ""controlling""], ""preferredSexPositions"": [""missionary"", ""doggy style"", ""standing""]}"
