"id","x_personality"
"serana","{""orientation"": ""Bisexual"", ""sexFantasies"": [""dark magic ritual"", ""bloodlust exploration"", ""forced submission"", ""wild outdoor sex"", ""sex with multiple partners"", ""blood play"", ""payment in blood"", ""two women one man""], ""sexualBehavior"": [""giving blowjobs"", ""deep throating"", ""cum play"", ""nipple play"", ""breast play"", ""threesomes""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""playful banter"", ""sexPersonalityTraits"": [""Dark seductress"", ""Submissive dominant"", ""Free spirit"", ""Bloodthirsty""], ""preferredSexPositions"": [""rear entry"", ""doggie style"", ""reverse cowgirl""]}"
"bassianus_axius","{""orientation"": ""heterosexual"", ""sexFantasies"": [""public sex in Riften alleys"", ""threesome with Fastred and another woman"", ""being watched by strangers""], ""sexualBehavior"": [""giving blowjobs"", ""deep throating"", ""nipple play""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""dirty talk"", ""sexPersonalityTraits"": [""dominant"", ""adventurous"", ""passionate""], ""preferredSexPositions"": [""standing from behind"", ""on top"", ""sitting on lap""]}"
"lynly_star-sung","{""orientation"": ""heterosexual"", ""sexFantasies"": [""being ravished by a mysterious stranger"", ""having a secret tryst in a hidden location"", ""being the center of attention in a private concert""], ""sexualBehavior"": [""giving blowjobs"", ""receiving gentle nipple play"", ""light breast play""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""sweet talk"", ""sexPersonalityTraits"": [""playful"", ""romantic"", ""reserved"", ""passionate""], ""preferredSexPositions"": [""missionary with a gentle touch"", ""being on top to feel in control"", ""rear entry to feel a sense of vulnerability""]}"
"fastred","{""orientation"": ""heterosexual"", ""sexFantasies"": [""romantic getaway with a lover"", ""outdoor sex in a secluded meadow"", ""being swept off her feet by a charming suitor""], ""sexualBehavior"": [""giving blowjobs"", ""deep kissing"", ""nipple play""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""sweet talk"", ""sexPersonalityTraits"": [""naive"", ""romantic"", ""submissive""], ""preferredSexPositions"": [""missionary"", ""cowgirl"", ""standing doggy""]}"
"camilla_valerius","{""orientation"": ""heterosexual"", ""sexFantasies"": [""being dominated by a strong man"", ""having a threesome with two men"", ""being watched during sex""], ""sexualBehavior"": [""giving blowjobs"", ""receiving blowjobs"", ""deep throating""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""dirty talk"", ""sexPersonalityTraits"": [""seductive"", ""playful"", ""teasing""], ""preferredSexPositions"": [""missionary"", ""cowgirl"", ""doggy style""]}"
"temba_wide-arm","{""orientation"": ""heterosexual"", ""sexFantasies"": [""being dominated by a strong partner"", ""having sex in a secluded outdoor location"", ""being watched by a trusted friend""], ""sexualBehavior"": [""deep throating"", ""giving blowjobs"", ""cum play""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""dirty talk"", ""sexPersonalityTraits"": [""passionate"", ""aggressive"", ""adventurous""], ""preferredSexPositions"": [""missionary"", ""cowgirl"", ""doggy style""]}"
"klimmek","{""orientation"": ""heterosexual"", ""sexFantasies"": [""candlelit sex"", ""romantic getaways"", ""passionate love making in the wilderness""], ""sexualBehavior"": [""gentle lovemaking"", ""romantic kissing"", ""hugging""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""sweet talk"", ""sexPersonalityTraits"": [""romantic"", ""caring"", ""emotional""], ""preferredSexPositions"": [""missionary"", ""man on top"", ""spooning""]}"
"valerica","{""orientation"": ""bisexual"", ""sexFantasies"": [""having sex in a dark, abandoned castle"", ""being dominated by a powerful Nord warrior"", ""succumbing to her primal desires in a moonlit forest""], ""sexualBehavior"": [""giving blowjobs"", ""receiving oral creampie"", ""Cum play""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""dominant talk"", ""sexPersonalityTraits"": [""Control freak"", ""Daring"", ""Protective""], ""preferredSexPositions"": [""tied-up"", ""from behind""]}"
"lucan_valerius","{""orientation"": ""heterosexual"", ""sexFantasies"": [""role-playing business partners"", ""sex in a secluded outdoor location"", ""slow, intimate seduction""], ""sexualBehavior"": [""deep kissing"", ""oral foreplay"", ""gentle intercourse""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""sensual whispering"", ""sexPersonalityTraits"": [""gentlemanly"", ""attentive"", ""controlled"", ""passionate""], ""preferredSexPositions"": [""missionary"", ""cowgirl"", ""standing from behind""]}"
"harkon","{""orientation"": ""heterosexual"", ""sexFantasies"": [""sex with a mortal woman while exerting his vampiric powers"", ""ravaging a village and claiming its women as his own"", ""deflowering a chaste priestess""], ""sexualBehavior"": [""biting"", ""scratching"", ""rough sex""], ""relationshipStyle"": ""polyamorous"", ""speakStyleDuringSex"": ""dominant talk"", ""sexPersonalityTraits"": [""dominant"", ""sadistic"", ""possessive"", ""controlling""], ""preferredSexPositions"": [""dominant missionary"", ""standing from behind"", ""bondage""]}"
