"ostim_id","sexlab_id","description"
"NibblesDoggystyle3-4","Nibblesdoggystyle3_S4","{actor0} is on all fours, pounding away in doggy style, his dick thrusting in and out of {actor1}'s pussy as she arches her back, also on all fours, facing away from him. At the same time, he's got a firm grip on her tits, groping and squeezing her breasts with his hands."
"NibblesFingeringn-1","NibblesFingeringN_S1","{actor0} sits on the ground with her feet flat, masturbating by rubbing her clitoris with her own hand, stimulating her vulva."
"NibblesCowgirl6-1","NibblesCowgirl6_S1","{actor1} is squatting over {actor0}, who's lying back, as she rides him in a cowgirl position, her vulva enveloping his erect penis, their bodies moving in sync as they engage in passionate vaginal sex, with {actor1} taking the lead. Meanwhile, {actor1} nibbles on {actor0}'s chest, adding an extra layer of intimacy to their intense lovemaking."
"NibblesCowgirl6-2","NibblesCowgirl6_S2","{actor1} is sitting on top of {actor0}, riding him in a cowgirl position as {actor0} lies back on the bottom, his body swaying to the rhythm. As they engage in passionate vaginal sex, {actor0} wraps his arms around {actor1}'s body, holding her close, with {actor1} taking the lead, her movements becoming more fervent as she nibbles on his ear."
"NibblesCowgirl6-3","NibblesCowgirl6_S3","{actor1} is seated on top of {actor0}, who's lying back, as they engage in a passionate cowgirl-style vaginalsex session. {actor0} is grips {actor1}'s body with his hands as she actively rides his shaft, their bodies moving in rhythm as they savor the intensity of the moment."
"NibblesCowgirl6-4","NibblesCowgirl6_S4","{actor1} is on top of {actor0}, riding him in a cowgirl position as she nibbles on his skin, her vulva enveloping his erection in a sensual, sexual dance. Meanwhile, {actor0} wraps his arms around {actor1} in a one-sided hug, his hands also sneaking around to grope her butt, adding an extra layer of sensuality to their intimate moment."
"NibblesCowgirlfemdom-2","NibblesCowgirlFemdom_S2","{actor1} is in a squatting position, her feet firmly on the ground, as she straddles {actor0} who lies back, his body submissive to her dominance. She's in control, actively riding him in a fierce cowgirl pose, her vulva enveloping his erect penis as they engage in passionate vaginal sex, while she holds his head and neck in a firm grip, asserting her femdom power."
"NibblesCowgirlfemdom-3","NibblesCowgirlFemdom_S3","{actor1} is squatting over {actor0}, who's lying back, as she takes charge in a dominant cowgirl position, her vulva engulfing his throbbing cock in a passionate vaginal sex act, while she firmly holds his arm with her hand, nibbling on his skin."
"NibblesDoggystyle3-1","Nibblesdoggystyle3_S1","{actor0} is kneeling behind {actor1} as she's on all fours, facing away from him, and he's nibbling on her skin while thrusting his cock into her pussy in a doggystyle position, holding onto her hip with his hand."
"NibblesFfPack","\N","{actor0} and {actor1}, two women, stand facing each other, their feet planted firmly on the ground, anticipation radiating from their bodies as they wait for their next erotic encounter."
"NibblesFmPack","\N","{actor0} and {actor1} stand facing each other, their bodies tense with anticipation, both of them clearly eager to dive into their next erotic encounter. The air is electric with expectation as they wait for the moment to transition from idle to intimate."
"NibblesGroupFmmHub","\N","{actor0}, {actor1}, and {actor2} stand idle, their bodies tense with anticipation, as they await the start of their upcoming escapade. The air is thick with expectation, each of them ready to dive into the wild ride ahead."
"NibblesHumanPage1","\N","{actor0} is standing with his feet hip-width apart, while {actor1} stands beside him, her eyes locked onto his, both of them poised and ready for whatever comes next."
"NibblesHumanFmHub","\N","{actor0} and {actor1} stand facing each other, both with their feet firmly on the ground, anticipation building as they await their next intimate encounter. The air is electric with expectation, their bodies poised and ready for the action to come."
"NibblesCowgirlfemdom-4","NibblesCowgirlFemdom_S4","{actor1} is squatting over {actor0}, facing away from him, with her feet planted firmly on the ground, her thighs gripping his waist as she rides him in a cowgirl position. At the same time, she's holding onto his leg for leverage, while {actor0} lies back, his penis deep inside her vulva as she actively thrusts against him, their bodies moving together in a sensual rhythm."
"NibblesCowgirlfemdom-5","NibblesCowgirlFemdom_S5","{actor1} is squatting over {actor0}, who's lying back, with her feet firmly planted on the ground, facing away from him. As she bounces up and down, her vulva envelops his throbbing cock, both reaching their orgasmic peak in unison, {actor1} intensifying the sensation by gripping his thigh."
"NibblesDoggystyle3-2","Nibblesdoggystyle3_S2","{actor0} is kneeling behind {actor1}, who is on all fours facing away, as he pounds into her pussy in a passionate doggystyle session. At the same time, {actor0} wraps his arms around {actor1}'s torso, pulling her close in a sensual hug as he nibbles on her neck."
"NibblesDoggystyle3-3","Nibblesdoggystyle3_S3","{actor0} is kneeling behind {actor1}, who's on all fours facing away, as he nibbles on her while thrusting his stiff cock into her wet pussy in doggystyle position, his hands gripping her hips."
"NibblesDoggystyle3-5","Nibblesdoggystyle3_S5","{actor0} is on all fours, feet on the ground, pounding away in doggystyle as {actor1} assumes the same position, facing away from him. They're both climaxing simultaneously, his penis deep inside her vulva as she experiences an intense orgasm."
"NibblesDoggystyle4-1","Nibblesdoggystyle4_S1","{actor0} and {actor1} are kneeling, face-to-face, as they engage in a passionate kiss. Meanwhile, {actor0} is grinding his cock against {actor1}'s pussy, treating her to a sensual delight, while he gently holds onto her hip, adding a touch of romance to their intimate moment."
"NibblesDoggystyle4-3","Nibblesdoggystyle4_S3","{actor0} is kneeling behind {actor1}, who's on all fours facing away from him, as he nibbles on her skin while thrusting his cock into her pussy in a doggystyle position, simultaneously holding onto her hip with one hand."
"NibblesDoggystyle4-4","Nibblesdoggystyle4_S4","{actor0} kneels behind {actor1}, who's on all fours facing away, as he slides his cock into her pussy from behind in a doggystyle position, simultaneously nibbling on her skin. He holds onto her hip with one hand, maintaining a sensual grip."
"NibblesDoggystyle4-5","Nibblesdoggystyle4_S5","{actor0} is kneeling behind {actor1}, who's also on her knees, facing away from him, as they're in a doggystyle position, with {actor0}'s penis deeply penetrating {actor1}'s vulva during passionate intercourse. As they both reach their peak, they're climaxing together, with {actor0} gently nibbling on {actor1}'s neck, while he's also wrapping his arms around her in a sensual, one-sided hug."
"NibblesFacesitting-1","NibblesFaceSitting_S1","{actor0} lies back on the bottom, his hands busy with his own masturbation as {actor1} sits on top of him, her feet firmly on the ground, her vulva in his face. {actor0}'s mouth is engaged in cunnilingus, orally pleasuring {actor1}'s vulva as she facesits on him."
"NibblesFacesitting-2","NibblesFaceSitting_S2","{actor1} is squatting on top of {actor0}, who's lying back on the bottom, as she sits on his face, her vulva in his mouth. At the same time, {actor1} is holding {actor0}'s head in place with her hands, while {actor0} is masturbating himself, his hand moving up and down his shaft."
