"ostim_id","sexlab_id","description"
"DrG_addonLTN_KneLyB_Sx_DragoMissionaryLegsUpOnChest","\N","{actor0} is kneeling between {actor1}'s legs as she lies back, his penis thrusting into her vulva in a passionate missionary-style vaginal sex act."
"DrG_addonLTN_KneLyB_Ho_DragoHub","\N","{actor0} is sitting next to {actor1}, both of them waiting with anticipation, their eyes fixed on each other, eager to engage in their next passionate encounter. The tension between them is palpable as they sit in stillness, their bodies ready to surrender to their desires."
"DrG_addonLTN_LyBMoU_Ho_SquattingGoToKiss","\N","{actor0} lies back, while {actor1} squats over him, poised in a transitional moment, awaiting the next move."
"DrG_addonLTN_StaSta_Ho_DragoHub","\N","{actor0} stands with his feet shoulder-width apart, while {actor1} stands facing away from him, their bodies not yet intertwined in any sensual way. For now, they simply stand together in anticipation, their desire for each other palpable as they wait for the moment to escalate their intimate encounter."
"DrG_addonLTN_LyBMoU_Ho_DragoHub","\N","{actor0} lies back while {actor1} kneels beside him, her hand sensually holding his thigh in a romantic gesture, as they both eagerly anticipate their next intimate encounter."
"DrG_addonLTN_LyBMoU_Sx_DragoReverseCowgirlHoldingButt","\N","{actor1} is squatting on top of {actor0}, who's lying back, as they engage in a passionate cowgirl-style vaginal sex act, with {actor0}'s penis thrusting into {actor1}'s vulva."
"DrG_addonLTN_LyBMoU_Sx_DragoFemaleMounted","\N","{actor1} is riding {actor0} in a cowgirl position, with him lying back and her on top, as they share a romantic and sensual kiss. At the same time, {actor0}'s cock is thrusting into {actor1}'s pussy, their bodies moving in a passionate, sexual rhythm."
"DrG_addonLTN_KneLyB_Sx_DragoMissionary","\N","{actor0} is kneeling, thrusting his cock into {actor1}'s pussy as she lies back, her legs wrapped around him in a classic missionary position, the two lost in a passionate, intense sexual encounter."
"DrG_addonLTN_LyBMoU_Sx_DragoReverseCowgirlPullingArms","\N","{actor1} is riding {actor0} in a reverse cowgirl position, her vulva sliding up and down on his throbbing cock as he lies back, while he grasps her arm, holding on tight."
"DrG_addonLTN_StaSta_Sx_DragoHoldingLegsSexBehind","\N","{actor0} stands behind {actor1} as she faces away from him, her legs spread apart, while he thrusts his cock into her pussy, gripping her thighs to hold her in place."
"DrG_addonLTN_LyBMoU_Sx_DragoSquattingCowgirl","\N","{actor1} is squatting on top of {actor0}, who's lying back, as they engage in a passionate cowgirl-style vaginal sex, with {actor0}'s cock thrusting into {actor1}'s pussy."
"DrG_addonLTN_StaSta_Sx_DragoStandingBehindHoldingArmsSex","\N","{actor0} is standing behind {actor1}, his feet planted firmly on the ground, as he thrusts his cock into her asshole from behind. Meanwhile, he's got a firm grip on her neck, holding it in place, while she stands facing away from him, her feet shoulder-width apart."
"DrG_addonLTN_LySLyS_Sx_DragoSpooningHoldingLegSex","\N","{actor0} lies on his side, his dick buried deep inside {actor1}'s pussy as they spoon, her body pressed against his."
"DrG_furnitureLTN_Cha!Ir_Po_DragoSittingMaleMasturbation","\N","{actor0} sits in a chair with his feet on the ground, masturbating, manually stimulating his own cock with a rhythmic motion."
"DrG_furnitureLTN_Cha!Ir_Po_DragoSittingFemaleMasturbationFingersInside","\N","{actor0} is sitting in a chair with her feet on the ground, masturbating with her fingers buried in her pussy."
"DrG_furnitureLTN_Ben!Ch_Sx_DragoSquattingBenchSexHoldingLegs","\N","{actor0} is squatting over {actor1}, his feet planted firmly on the ground, as he thrusts his dick into her pussy in a missionary position, while {actor1} lies back on the bench, her body arching to meet his rhythmic movements."
"DrG_furnitureLTN_Cha!Ir_Sx_DragoReverseCowgirlLeanBackSmaller","\N","{actor1} is riding {actor0} in a reverse cowgirl position, facing away from him as she straddles his lap on the chair, her vulva grinding against his penis."
"DrG_furnitureLTN_Ben!Ch_Ap_DragoSittingBenchIdle","\N","{actor0} is sitting on the bench with his feet planted firmly on the ground, while {actor1} is laying back beside him, both of them momentarily idle, anticipating their next erotic encounter. The atmosphere is filled with expectation as they wait for their next passionate engagement."
"DrG_furnitureLTN_Ben!Ch_Sx_DragoSquattingBenchSex","\N","{actor0} is squatting over {actor1}, who is lying back on the bench, with his erect cock thrusting into her pussy as they engage in a passionate missionary-style vaginal sex act."
"DrG_addonLTN_LySLyS_Ho_DragoHub","\N","{actor0} is lying on his front, while {actor1} is lying on her back, with the two of them holding hands in a romantic gesture. At the same time, {actor1} is gently stroking {actor0}'s head, as they both seem to be anticipating their next intimate encounter."
"DrG_furnitureLTN_Cha!Ir_Ap_ChairIdleFemaleFacingAway","\N","{actor0} is sitting in the chair with his feet planted firmly on the ground, while {actor1} stands facing away from him, her feet also on the ground, both of them poised in anticipation of their next intimate encounter."
"DrG_furnitureLTN_Cha!Ir_Sx_DragoReverseCowgirlLeanBack","\N","{actor1} is facing away from {actor0}, sitting on top of him in a reverse cowgirl position, as he sits on the chair with his feet planted firmly on the ground, his cock buried deep inside her pussy as she actively rides him, their bodies moving in sync in a passionate vaginal sex act."
