"ostim_id","sexlab_id","description"
"LeitoAnalReCow-2","Leito_Giant_Anal_ReCow_S2","{actor0} lies back as {actor1} squats over him, her feet planted firmly on the ground, facing away from him. She takes control, actively riding his erect cock as it penetrates her ass in a passionate anal sex act, her body moving in sync with his as they both revel in the intense pleasure."
"LeitoAnalDoggy2-5","Leito_Anal_Doggy_2_S5","{actor0} is squatting on the bed, his feet planted firmly on the ground, as he pounds away in doggystyle position, his cock thrusting deep into {actor1}'s tight asshole. Meanwhile, {actor1} is kneeling on all fours, her face turned away, her body trembling with pleasure as she reaches her own climax, her arm held firmly by {actor0}'s hand as he rides her to a intense orgasm."
"LeitoFSoloDildoAnal-1","Leito_f_solo_dildo_anal_S1","{actor0} is sitting, with her hand inserted into her own anus, using a sex toy to stimulate herself, her fingers working the toy in and out of her rear passage."
"LeitoFSoloToyCowgirlVag-2","Leito_f_solo_toy_cowgirl_vag_S2","{actor0} is squatting with her feet on the ground, grinding her vulva against an unspecified object in a sexual manner."
"LeitoBj3-5","Leito_BJ3_S5","{actor0} lies on his back, climaxing, as {actor1} lies beside him, her mouth wrapped around his cock, giving him a sexual blowjob while he gently holds her head."
"LeitoCunnilingus2-3","Leito_Cunnilingus2_S3","{actor0} lies on his front, his face buried between {actor1}'s spread legs as he tongues her vulva, her back arched in pleasure."
"LeitoFSoloToyReCowAnal-1","Leito_f_solo_toy_re_cow_anal_S1","{actor0} is squatting with her feet shoulder-width apart on the floor, her knees bent and her weight resting on her heels."
"LeitoCowgirl2-5","Leito_Riekling_Cowgirl_2_S5","{actor0} is lying back, reaching his peak as {actor1} straddles him in a cowgirl position, her feet planted firmly on the ground, and she's also hitting her high point. As they engage in passionate vaginal sex, {actor0} grips {actor1}'s leg, while she simultaneously pleasures herself, lost in the intensity of the moment."
"LeitoCowgirl2-4","Leito_Riekling_Cowgirl_2_S4","{actor1} is sitting on top of {actor0}, who is lying back, with her feet planted firmly on the ground, in a classic cowgirl position. As they engage in passionate vaginal sex, {actor0} reaches up to hold {actor1}'s leg, while {actor1} simultaneously pleasures herself, bringing herself closer to a thrilling orgasm."
"LeitoCunnilingus2-4","Leito_Cunnilingus2_S4","{actor0} is lying on his front, his face buried between {actor1}'s legs, his tongue licking her vulva as he performs oral sex on her. At the same time, {actor1} is lying on her back, one hand grasping {actor0}'s head, holding it in place as she receives pleasure from him."
"LeitoDoggy2-2","Leito_Riekling_Doggy_2_S2","{actor0} is kneeling behind {actor1}, who's on all fours, facing away from him. He's thrusting his cock into her pussy while holding onto her hip, as they engage in a passionate doggystyle vaginal sex session."
"LeitoFSoloToyReCowAnal-2","Leito_f_solo_toy_re_cow_anal_S2","{actor0} is squatting with her feet on the ground, grinding her pussy against an object in a sexual motion."
"LeitoSoloFHub","\N","{actor0} stands with her feet shoulder-width apart, looking expectant and ready for action, her body poised in anticipation of the next erotic encounter."
"LeitoStanding2-1","Leito_Standing_2_S1","{actor0} is on his knees, his face buried between {actor1}'s legs as he licks her vulva, performing oral sex while she stands with her feet shoulder-width apart, bending over and facing away from him."
"LeitoMmf3-1","Leito_mmf_3_S1","{actor0} and {actor1} stand with their feet on the ground, each wrapping their arms around {actor2} in a sensual hug. Meanwhile, {actor0} slips his hand between {actor2}'s legs, gently fingering her vulva, as {actor2} reaches out to stroke {actor1}'s erection with her hand."
"LeitoMmf2-1","Leito_nc_bound_mmf_2_S1","{actor0} is standing with his feet on the ground, while {actor1} is lying back, and {actor2} is sitting with her feet on the ground. {actor2} is giving {actor0} a blowjob, wrapping her lips around his cock, and at the same time, {actor1} is orally pleasing {actor2}, his tongue licking her vulva."
"LeitoBj3-1","Leito_BJ3_S1","{actor0} is lying back while {actor1} is lying beside him, her hand wrapped around his cock as she strokes him in a sensual handjob."
"LeitoAfUnicorn-5","Leito_unicorn_S5","{actor0} is on all fours on the bench, his dick thrusting into {actor1}'s pussy as she lies back, her legs wrapped around him. Both {actor0} and {actor1} are climaxing, their bodies shuddering in ecstasy as they reach orgasm. At the same time, {actor1} wraps her arms around {actor0}, pulling him close in a sensual hug as they ride out their mutual orgasm."
"LeitoFSoloDildoVag-2","Leito_f_solo_dildo_vag_S2","{actor0} sits on the floor with her feet planted firmly on the ground, her hand buried between her legs as she stimulates her vulva with a sex toy, lost in a moment of solo pleasure."
"LeitoBj3-4","Leito_BJ3_S4","{actor0} lies back while {actor1} lies beside him, her hand gripping his cock as she strokes it in a handjob, at the same time her mouth wraps around his shaft, sucking and licking in a passionate blowjob."
"LeitoCunnilingus2-2","Leito_Cunnilingus2_S2","{actor0} is kneeling between {actor1}'s spread legs, his tongue licking her vulva as she lies back, receiving oral sex."
"LeitoFSoloDildoAnal-5","Leito_f_solo_dildo_anal_S5","{actor0} lies on her side, her body trembling as she reaches climax. At the same time, she's got a sex toy lodged in her anus, and her hand is busy fingering her own pussy, sending her over the edge into a state of pure ecstasy."
"LeitoFmPack","\N","{actor0} and {actor1} stand facing each other, their bodies tense with anticipation, both of them waiting for the moment to transition from idle to intimacy. The air is thick with expectation as they engage in a silent, mutual gaze, their faces inches apart."
"LeitoFSoloDildoVag-3","Leito_f_solo_dildo_vag_S3","{actor0} is lying back with her feet on the ground, using a sex toy to stimulate her own vulva, pleasuring herself in a sensual solo act."
"LeitoCowgirl2-3","Leito_Riekling_Cowgirl_2_S3","{actor1} is squatting over {actor0}, who's lying back, with her feet planted firmly on the ground, as she rides him in a cowgirl position, her vulva enveloping his erect penis, actively grinding against him in a sensual, sexual rhythm."
"LeitoGroupFmmHub","\N","{actor0}, {actor1}, and {actor2} stand idly, their feet planted firmly on the ground, anticipation etched on their faces as they await the next step in their erotic encounter."
"LeitoHumanPage2","\N","{actor0} and {actor1} stand facing each other, their bodies tense with anticipation, both of them clearly ready to dive into their next erotic encounter. The air is thick with expectation as they wait for the moment to transition from idle flirting to passionate entanglement."
"LeitoLesbian1-3","Leito_Lesbian_1_S3","{actor0} lies back with her legs spread wide, while {actor1} kneels between them, their vulvas rubbing together in a passionate tribbing session. {actor1} reaches out to gently hold {actor0}'s leg, intensifying their intimate connection."
"LeitoFfm1-1","Leito_ffm_1_S1","{actor0} stands with his feet on the ground, his penis being licked by both {actor1} and {actor2}, who are both kneeling. Meanwhile, {actor0} is patting the heads of both {actor1} and {actor2}, as {actor1} also reaches up to grope his balls."
"LeitoLesbian2-5","Leito_Lesbian_2_S5","{actor0} and {actor1} lie side by side, both climaxing as they engage in a passionate 69, each licking the other's vulva with their tongues, their oral sex actions simultaneous and intensely sexual."
"LeitoFfm2-2","Leito_ffm_2_S2","{actor0} lies back on the bottom, his dick thrusting upwards as {actor1} sits on top of him, her vulva grinding against his, actively riding him in a passionate vaginal sex act. At the same time, {actor2} kneels beside them, her face buried between {actor0}'s legs, her tongue licking his vulva, providing an intense oral stimulation."
"LeitoLesbianDildo1-1","Leito_Lesbian_Dildo_1_S1","{actor0} is kneeling on the floor, {actor1} sitting in front of her, as they share a romantic and sensual kiss. At the same time, {actor0} is holding a sex toy and using it to stimulate {actor1}'s pussy."
"LeitoFfm1-4","Leito_nc_bound_ffm_1_S4","{actor0} is kneeling, holding {actor1}'s leg as he penetrates her butt from behind, while {actor1} lies back, her body arched in pleasure. Meanwhile, {actor2} sits beside them, actively licking {actor1}'s vulva with her tongue, as she simultaneously pats {actor1}'s head with her hand, adding to the sensory overload."
"LeitoLesbian1-5","Leito_Lesbian_1_S5","{actor0} lies back, legs spread wide, as she reaches a fevered pitch, her body trembling in ecstasy. Meanwhile, {actor1} kneels alongside, her own legs splayed, climaxing in tandem as the two women engage in a frenzied, sexual tribbing session, their vulvas grinding together in a shared moment of bliss."
"LeitoFfm2-1","Leito_ffm_2_S1","{actor0} is lying back, receiving a intense blowjob from {actor1}, who is lying on her side, her mouth wrapped around his cock. At the same time, {actor2} is on all fours beside them, locking lips with {actor0} in a passionate kiss, their tongues entwined in a sensual embrace."
"LeitoStanding2-4","Leito_Standing_2_S4","{actor0} is standing with his feet shoulder-width apart, his erection buried deep in {actor1}'s pussy as she bends over, her feet firmly planted on the ground, her back facing him."
"LeitoFfm3-3","Leito_ffm_3_S3","{actor0} is on his knees, while {actor1} is on all fours on top of him, her feet flat on the ground. Below them, {actor2} is also on all fours, with {actor0}'s penis inside her vulva as they engage in vaginal sex. Simultaneously, {actor0} is using his hand to finger {actor1}'s vulva."
"LeitoHumanFmHub","\N","{actor0} and {actor1} stand facing each other, both with their feet firmly on the ground, their bodies tense with anticipation as they wait for their next erotic encounter. The air is thick with expectation as they eagerly await the moment to indulge in their next passionate escapade."
"LeitoMmf3-4","Leito_mmf_3_S4","{actor0} is standing with his feet on the ground, plunging his cock into {actor2}'s anus while holding her body, as she's suspended in mid-air. Meanwhile, {actor1} is also standing, his penis buried in {actor2}'s pussy, holding her leg with one hand and embracing her with the other, as {actor2} wraps her arms around him, hugging him tightly."
"LeitoFPack","\N","{actor0} stands with her feet shoulder-width apart, her eyes gleaming with anticipation as she awaits her next erotic encounter, her body poised and ready for the sensual delights to come."
"LeitoFSoloDildoAnal-2","Leito_f_solo_dildo_anal_S2","{actor0} sits with a sex toy plunged into her asshole, her own hands guiding the anal play as she stimulates her own vulva, enjoying the thrill of self-pleasure."
"LeitoFSoloDildoAnal-3","Leito_f_solo_dildo_anal_S3","Lying on her side, {actor0} holds a sex toy against her anus, stimulating her vulva as she pleasures herself, her body relaxed in the carnal moment."
"LeitoFfm3-4","Leito_ffm_3_S4","{actor0} is standing, his erection thrusting into {actor1} from behind as she's on all fours on top of {actor2}, who's also on all fours, her hands busy stimulating her own pussy."
"LeitoBj3-3","Leito_BJ3_S3","{actor0} is lying back while {actor1} is lying beside him, her hand wrapped around his shaft as she gives him a handjob. At the same time, she's also blowing him, her mouth sliding up and down his cock in a sensual blowjob."
"LeitoDoggy2-1","Leito_Anal_Doggy_2_S1","{actor0} is on his knees, thrusting his cock into {actor1}'s pussy from behind as she's on all fours, facing away from him, in a primal doggystyle position."
"LeitoHumanPage1","\N","{actor0} and {actor1} stand facing each other, their bodies tense with anticipation, both ready to dive into their next erotic encounter."
"LeitoFSoloToyCowgirlVag-3","Leito_f_solo_toy_cowgirl_vag_S3","{actor0} is kneeling with her feet on the ground, using a sex toy to stimulate her own vulva, pleasuring herself in a solo act of vaginal toying."
"LeitoCowgirl2-2","Leito_Riekling_Cowgirl_2_S2","{actor0} lies back as {actor1} squats over him, her feet planted firmly on the ground. She's in a cowgirl position, actively riding him, her vulva enveloping his erect penis as they engage in intense, sexual vaginal intercourse."
"LeitoCowgirl2-1","Leito_Riekling_Cowgirl_2_S1","{actor0} lies back, taking a submissive role at the bottom, while {actor1} straddles him, her feet firmly on the ground. As they engage in cowgirl-position vaginal sex, {actor1} takes the lead as the active participant, grinding her vulva onto {actor0}'s penis."
"LeitoAnalMissionary-5","Leito_nc_bound_anal_missionary_S5","{actor0} is kneeling between {actor1}'s spread legs, his penis thrusting into her vulva as they engage in passionate vaginal sex. As they transition into a missionary position, both {actor0} and {actor1} reach a fever pitch, climaxing together in a burst of ecstasy, with {actor1} simultaneously pleasuring herself through masturbation."
"LeitoFfm3-2","Leito_ffm_3_S2","{actor0} is kneeling, thrusting his cock into {actor1} from behind as she's on all fours, her breasts swaying with each movement. At the same time, he's using his hand to finger {actor2}'s pussy, who's also on all fours, as {actor1} wraps her arms around {actor2} in a tender hug."
"LeitoFSoloToyCowgirlVag-4","Leito_f_solo_toy_cowgirl_vag_S4","{actor0} is kneeling, using a sex toy to pleasure her own vulva, indulging in some solo vaginal toying, bringing herself to a state of arousal."
"LeitoCunnilingus2-1","Leito_Cunnilingus2_S1","{actor0} is kneeling beside {actor1}, who is lying back with her legs spread wide. {actor0} is burying his face between her thighs, his tongue lavishing attention on her vulva as he performs oral sex on her, while simultaneously holding onto her leg with one hand."
"LeitoFfm3-5","Leito_ffm_3_S5","{actor0} stands with his feet on the ground, stroking his cock to a frenzied climax as he ejaculates onto the upturned butt of {actor1}, who is on all fours on top of {actor2}, also on all fours. At the same time, {actor0} also cums on {actor2}'s butt, while {actor2} masturbates her own pussy, lost in the moment of shared ecstasy."
"LeitoKissingFemaleStart-2","Leito_Kissing_Female_Start_S2","{actor0} and {actor1} stand facing each other, their lips locked in a romantic and sensual kiss. Meanwhile, {actor0} wraps his arms around {actor1} in a sensual hug, pulling her close as they continue to kiss."
"LeitoAnalPowerbomb-4","Leito_Anal_Powerbomb_S4","{actor0} stands with his feet on the ground, his penis penetrating {actor1}'s butt from behind as she lies back, while he uses one hand to rub her clit and the other to hold her leg,-gradient of pleasure intensifying."
"LeitoFfm2-3","Leito_ffm_2_S3","{actor0} lies back on the bottom, his dick thrusting into {actor2} as she kneels over him, actively riding his shaft. Meanwhile, {actor0} buries his face between {actor1}'s thighs, his tongue fiercely licking her pussy as she sits astride him, her feet planted firmly on the ground."
"LeitoAfThroneAnalReCow-4","Leito_throne_anal_re_cow_S4","{actor0} sits in the chair with his feet planted firmly on the ground, his cock thrusting upwards into {actor1}'s anus as she squats over him, facing away, her legs spread wide to accommodate his shaft, her butt cheeks pressed against his thighs."
"LeitoAfBedFeetMissionary-5","Leito_leito_bed_feet_missionary_S5","{actor0} stands at the edge of the bed, his feet planted firmly on the ground, as he reaches a thunderous orgasm, his cock buried deep within {actor1}'s pussy. Meanwhile, {actor1} lies back on the bed, her eyes closed in ecstasy, her leg raised and held by {actor0}'s hand, as she too climaxes, her vulva pulsating around his shaft, and his lips brush against the arch of her foot in a gentle, sensual kiss."
"LeitoAfThroneAnalReCow-3","Leito_throne_anal_re_cow_S3","{actor0} is sitting in the chair with his feet planted firmly on the ground, while {actor1} is squatting over him, her feet also on the ground. She's in a reverse cowgirl position, facing away from him as they engage in vaginal sex, with {actor0}'s penis thrusting into {actor1}'s vulva."
"LeitoFSoloToyCowgirlVag-6","Leito_f_solo_toy_cowgirl_vag_S6","{actor0} is kneeling on the bed, her body wracked with pleasure as she reaches a shuddering orgasm. At the same time, she's using a sex toy to stimulate her own vulva, her hand moving in a slow, sensual rhythm as she toys with herself."
"LeitoDoggy2-5","Leito_Riekling_Doggy_2_S5","{actor0} is on all fours, his cock buried deep inside {actor1} from behind as she kneels on all fours, facing away from him, her back arched in ecstasy. Both are climaxing, their bodies trembling in unison as they reach a frenzied peak, his dick thrusting wildly into her soaking wet pussy."
"LeitoKissingFemaleStart-1","Leito_Kissing_Female_Start_S1","{actor0} and {actor1} are standing, locked in a passionate, sensual kiss, as {actor0} wraps his arms around {actor1} in a tight, sensual hug."
"LeitoDoggy2-3","Leito_Riekling_Doggy_2_S3","{actor0} is kneeling behind {actor1}, who's on all fours facing away from him, as he thrusts his cock into her pussy in a doggystyle position, while holding onto her hip with one hand."
"LeitoFSoloToyCowgirlVag-5","Leito_f_solo_toy_cowgirl_vag_S5","{actor0} is on her knees, fondling her own breasts while simultaneously using a sex toy to stimulate her vulva, lost in a moment of solo intimacy."
