"ostim_id","sexlab_id","description"
"DrG_FAaddon","\N","{actor0} sits calmly on the edge of the bed, while {actor1} stands next to them, facing each other in a neutral position, with no ongoing sex act."
"DrG_LyB!Kne_Sx_DragoFeetonFace","\N","{actor0} lies back as {actor1} sits on top of him, her vulva enveloping his erect cock as they engage in passionate vaginal sex, with {actor0} actively thrusting into her."
"DrG_LyB!Kne_Sx_DragoFeetonChest","\N","{actor1} is riding {actor0} in a cowgirl position, sitting on top of him as he lies back, his erection deeply penetrating her vulva, their bodies moving in sync as they engage in passionate vaginal sex, {actor0} actively thrusting into {actor1}."
"DrG_LyB!Kne_FJ_DragoFootjobfromBehind","\N","{actor0} lies back, his penis erect, as {actor1} kneels over him, using her feet to stroke and pleasure his cock in a sensual footjob, her toes curled and caressing his shaft in a smooth, calculated motion."
"DrG_furniture_Cha!Ir_FJ_ChairSittingFootjob","\N","{actor0} is kneeling in front of {actor1}, who is sitting in the chair with her feet on the ground, using her feet to stimulate {actor0}'s dick in a sensual footjob."
"DrG_furniture_Cha!Ir_Ho_ChairKneelingMale","\N","{actor0} stands next to the chair, while {actor1} sits comfortably with her feet planted firmly on the ground, both of them anticipating their next intimate encounter."
"DrG_furniture_Cha!Ir_FJ_ChairSittingToejob","\N","{actor0} is kneeling in front of {actor1}, who is sitting in a chair with her feet on the ground, using her feet to stimulate {actor0}'s erection, giving him a sensual footjob."
"DrG_LyB!Kne_Ho_TicklingFeet","\N","{actor0} stands facing away from {actor1}, who lies on her front, as he playfully tickles her feet with his hands, building anticipation for their next intimate encounter."
"DrG_Kne!AFo_FJ_DragoHoldingFeetFootjob","\N","{actor0} is kneeling, his penis being stimulated by {actor1}'s skilled feet as she assumes the all-fours position, facing away from him, giving him a sensual footjob."
"DrG_Kne!AFo_Sx_DragoHoldingFeetSex","\N","{actor0} is kneeling behind {actor1}, who is on all fours facing away from him, as he thrusts his cock into her pussy in a doggystyle position, engaging in passionate vaginal sex."
