"ostim_id","sexlab_id","description"
"BillyyTable2PBehindHoldingHipClimax0","\N","{actor0} stands behind {actor1}, his feet planted firmly on the ground, as he thrusts his stiff shaft into her vulva from behind, his arms wrapped around her in a tight, sensual hug, pulling her close as they stand at the table."
"BillyyTable2PBehindHoldingNeckClimax01","\N","{actor0} is standing with his feet on the ground, his penis inside {actor1}'s vulva as they engage in vaginal sex, while he wraps his arms around her, holding her close in a sensual one-sided hug, with {actor1} standing facing away from him."
"BillyyTable2PBehindClimax01","\N","{actor0} stands with his feet on the ground, his penis buried deep in {actor1}'s vulva as they engage in passionate vaginal sex. At the same time, he wraps his arms around her, pulling her close in a sensual one-sided hug as she stands facing away from him."
"BillyyTable2PFaceFuckMasturbation","\N","{actor0} stands with his feet on the ground, his penis buried in {actor1}'s mouth as she lies back on the table, her lips wrapped around his shaft. At the same time, {actor1} is fingering her own pussy, stimulating her clitoris, while gently grasping {actor0}'s hip with one hand. Meanwhile, {actor0} holds {actor1}'s hand with his, a tender and intimate gesture amidst the intense oral sex."
"BillyyTable2PAnalArmAndLegHeldClimax0","\N","{actor0} is standing behind {actor1} with his feet on the ground, his erect cock penetrating her anus as she lies on her side, facing away from him, her body pressed against the table. At the same time, they're holding hands, their fingers intertwined in a romantic gesture."
"BillyyTable2PHandjob","\N","{actor0} stands with his feet firmly on the ground as {actor1} kneels before him, her hand wrapped around his stiff shaft, stroking it with a gentle yet firm motion, giving him a handjob. At the same time, she reaches up to grasp his leg, her hand closing around his thigh just above the knee, holding him in a sensual yet stabilizing grip."
"BillyyTable2PAnalArmAndLegHeld","\N","{actor0} stands beside the table, his feet planted firmly on the ground, as he takes {actor1} from behind, his penis thrusting into her anus. At the same time, he grasps her arm with one hand and holds onto her leg with the other, her body lying on its side, facing away from him."
"BillyyTable2PLegUpLying","\N","{actor0} is standing with his feet on the ground, while {actor1} is lying on her side on the table, with her feet still touching the floor. {actor0} is having vaginal sex with {actor1}, his penis thrusting into her vulva, as he holds her arm with one hand and her leg with the other."
"BillyyTable2PLegUpClimax01","\N","{actor0} is standing with his feet on the ground, while {actor1} is in a compromising position, lying on her side on the table with her legs slightly elevated, as {actor0} holds one of her legs with his hand. At the same time, they're engaged in passionate vaginal sex, with {actor0}'s penis thrusting into {actor1}'s vulva."
"BillyyTable2PAnalLeanForwardClimax0","\N","{actor0} is standing with his feet on the ground, his erect cock penetrating {actor1}'s anus from behind as she lies on her side, facing away from him, her butt tilted upwards. At the same time, {actor0} and {actor1} are holding hands, their fingers intertwined in a romantic gesture."
"BillyyTable2PAnalLegHeldClimax0","\N","{actor0} is standing at the table, his feet firmly on the ground, as he takes {actor1} from behind, his rock-hard cock thrusting into her anus. At the same time, he's tenderly holding her hand with one of his, their fingers intertwined in a romantic gesture, while {actor1} lies on her side, her back facing him."
"BillyyTable2PBehindHoldingNeckClimax0","\N","{actor0} stands behind {actor1}, his feet planted firmly on the ground, as he thrusts his cock into her pussy from behind, their bodies pressed together in a sensual hug, with his arms wrapped tightly around her waist."
"BillyyTable2PAnalArmAndLegHeldClimax1","\N","{actor0} stands with his feet on the ground, his dick thrusting into {actor1}'s ass from behind as she lies on her side facing away from him, her hands clasped together with his in a gentle, romantic hold."
"BillyyTable2PAnalLeanForward","\N","{actor0} stands with his feet on the ground, his penis thrusting into {actor1}'s ass as she lies on her side, facing away from him. At the same time, he's holding her arm with one hand and grasping her leg with the other."
"BillyyTable2PBehind","\N","{actor0} is standing with his feet on the ground, pounding his dick into {actor1}'s pussy from behind as she stands facing away from him, her feet also planted firmly on the ground."
"BillyyTable2PBehindClimax1","\N","{actor0} is standing at the table with his feet on the ground, while {actor1} stands facing away from him. He wraps his arms around her in a sensual one-sided hug, simultaneously penetrating her vulva with his penis from behind as they engage in a standing vaginal sex act."
"BillyyTable2PBendOver","\N","{actor0} is standing behind {actor1}, who is bent over the table with her feet on the ground, facing away from him. He is thrusting his cock into her pussy while holding onto her body with one hand."
"BillyyTable2PBlowjob","\N","{actor0} stands with his feet on the ground, his erection prominent as {actor1} kneels before him, her mouth wrapped around his shaft, performing a blowjob. At the same time, she reaches up to grasp his leg, holding it in place as she works her oral magic."
"BillyyTable2PCarryingLeanBack","\N","{actor0} is standing with his feet on the ground, while {actor1} is suspended in mid-air, her legs wrapped around his waist. He is thrusting his cock into her pussy, their bodies swaying to the rhythm of their passionate lovemaking, as he grips her hip with one hand, holding her close."
"BillyyTable2PAnalLegHeldClimax01","\N","{actor0} is standing behind {actor1}, who is lying on her side, facing away from him, as they engage in anal sex, his member deeply penetrating her anus. Meanwhile, they share a tender moment, holding hands, as {actor0} gently grasps {actor1}'s hand in his."
"BillyyTable2PCarrying","\N","{actor0} stands with his feet on the ground, his erection buried deep in {actor1}'s pussy as she's suspended in mid-air, her vulva wrapped tightly around his throbbing cock. At the same time, he reaches around to grope her butt, his hands squeezing her cheeks as he penetrates her."
"BillyyTable2PFaceFuckArmsUp","\N","{actor0} is standing beside the table, his cock being sucked by {actor1}, who's lying back on the table, her mouth wrapped around his shaft as she gives him a intense blowjob."
"BillyyTable2PFaceFuckClimax0","\N","{actor0} is standing at the table with his feet on the ground, while {actor1} is lying back on the table. {actor1} is giving {actor0} a blowjob, her mouth wrapped around his erect cock, as he simultaneously fingers her vulva with his hand, stimulating her. Meanwhile, {actor1} has her hand wrapped around {actor0}'s leg, holding it in place."
"BillyyTable2PLegUp","\N","{actor0} stands with his feet on the ground, holding {actor1}'s leg, as he penetrates her vagina from behind with his erection, while {actor1} stands facing away, her feet also on the ground."
"BillyyTable2PFaceFuckClimax1","\N","{actor0} stands beside the table, his feet planted firmly on the ground, as {actor1} lies back on the table, her body exposed. {actor1} wraps her mouth around {actor0}'s erect cock, sucking him off while he simultaneously fingers her wet pussy, and she reaches up to grasp his leg, holding on tight."
"BillyyTable2PLegUpClimax1","\N","{actor0} stands beside the table, his feet firmly on the ground, while {actor1} is positioned on her side on the table, her feet also touching the floor. {actor0} penetrates {actor1} with his erection, engaging in vaginal sex, as he simultaneously holds onto {actor1}'s leg with one hand."
"BillyyTable2PFaceFuck","\N","{actor0} is standing with his feet on the ground, while {actor1} is lying back on the table. {actor1} is giving {actor0} a blowjob, her mouth wrapped around his cock, as she simultaneously masturbates herself, her fingers working her own pussy. Meanwhile, {actor1} reaches out to hold {actor0}'s hip, and they clasp hands in a romantic gesture, the intimacy of the moment palpable."
"BillyyTable2PAnalLeanForwardClimax01","\N","{actor0} is standing at the table, feet planted firmly on the ground, as he thrusts his cock into {actor1}'s ass from behind, their bodies moving in sync. At the same time, they share a tender moment, hands clasped together in a gentle hold, as {actor1} lies on her side, facing away from him."
"BillyyTable2PBehindHoldingNeckClimax1","\N","{actor0} stands behind {actor1}, his feet planted firmly on the ground, as he embraces her with a sensual hug, his arms wrapped around her waist. At the same time, he's thrusting his dick into her pussy from behind, their bodies swaying gently to the rhythm of their lovemaking, with {actor1}'s back to him as she faces away."
"BillyyTable2PAnalLegHeldClimax1","\N","{actor0} stands beside the table, his feet planted firmly on the ground, as he takes {actor1} from behind, his dick slid deep into her asshole. At the same time, they share a tender moment, holding hands, with {actor1} lying on her side, her back to {actor0}, her face turned away."
"BillyyTable2PAnal","\N","{actor0} stands beside the table, his feet planted firmly on the ground, as he plunges his erection into {actor1}'s asshole from behind, his hand grasping her thigh for leverage, while {actor1} lies on her side, facing away from him, her body slightly arched to accommodate his thrusts."
