"ostim_id","sexlab_id","description"
"AyasatoBlowjob-1","Ayasato_Blowjob_S1","{actor0} is standing while {actor1} is sitting, jerking off his cock with her hand, giving him a sensual handjob."
"AyasatoBlowjob-2","Ayasato_Blowjob_S2","{actor0} is standing, while {actor1} is sitting, her lips wrapped around his shaft, deeply throating his dick in a passionate oral session."
"AyasatoChair-4","Ayasato_Chair_S4","{actor0} sits in the chair, holding hands with {actor1}, who straddles him, facing away, her vulva enveloping his erect penis as they engage in a passionate vaginal sex act."
"AyasatoCounter-5","Ayasato_Counter_S5","{actor0} is standing over {actor1}, who is lying back on the table, as he thrusts his cock into her pussy, engaging in a passionate and intimate act of vaginal sex."
"AyasatoCounter-4","Ayasato_Counter_S4","{actor0} is standing over {actor1}, who is sitting at the table, as he thrusts his cock into her pussy in a passionate vaginal sex act."
"AyasatoBlowjob-4","Ayasato_Blowjob_S4","{actor0} is standing upright, while {actor1} is seated in front of him, her lips wrapped around his stiff cock as she performs a sloppy blowjob, her mouth moving up and down his shaft."
"AyasatoCounter-3","Ayasato_Counter_S3","{actor0} is standing behind {actor1}, who is bent over the table with her legs spread wide, facing away from him. He's pounding into her pussy from behind, their bodies locked in a fierce doggy-style fuck."
"AyasatoChair-3","Ayasato_Chair_S3","{actor0} is sitting in the chair, holding {actor1}'s body, as she sits on top of him, grinding her vulva against his erect cock, engaging in a passionate vaginal sex act."
"AyasatoChair-1","Ayasato_Chair_S1","{actor0} sits in the chair, holding {actor1}'s hips as she straddles him, her vulva enveloping his erect cock in a passionate vaginal sex act."
"AyasatoCounter-6","Ayasato_Counter_S6","{actor0} is standing over {actor1}, who is lying back on the table, as he thrusts his penis into her vulva in a passionate display of vaginal sex."
"AyasatoDoggy-1","Ayasato_Doggy_S1","{actor0} is kneeling behind {actor1}, who is on all fours facing away from him, as he thrusts his dick into her pussy from behind in a doggy-style position."
"AyasatoCowgirl-1","Ayasato_Cowgirl_S1","{actor1} sits on top of {actor0}, who's lying back, as she rides his cock in a sensual cowgirl position, their bodies moving in unison as they engage in vigorous vaginal sex, with {actor0}'s penis deep inside {actor1}'s pussy."
"AyasatoChair-6","Ayasato_Chair_S6","{actor0} is sitting in the chair, holding {actor1}'s hand and body, as she sits on top of him, facing away, her vulva enveloping his erect cock in a sexual embrace, their bodies entwined in a passionate, intimate connection."
"AyasatoBlowjob-3","Ayasato_Blowjob_S3","{actor0} is standing, while {actor1} is sitting, her mouth wrapped around his erect cock, performing a sensual blowjob, her lips sliding up and down his shaft in a smooth, oral caress."
"AyasatoCowgirl-3","Ayasato_Cowgirl_S3","{actor0} is lying back, while {actor1} is sitting on top of him, her vulva wrapped around his penis as they engage in passionate vaginal sex, his thickness thrusting deep inside her."
"AyasatoCowgirl-2","Ayasato_Cowgirl_S2","{actor1} sits on top of {actor0}, who's lying back, as they engage in a passionate cowgirl-style vaginal sex, with {actor1}'s vulva wrapped around {actor0}'s erect penis."
"AyasatoChair-2","Ayasato_Chair_S2","{actor0} is sitting on the chair, holding {actor1}'s hips as she straddles him, her vulva enveloping his erect cock in a passionate vaginal sex act, their bodies moving in sync as they savor the intimate connection."
"AyasatoDoggy-3","Ayasato_Doggy_S3","{actor0} is kneeling behind {actor1}, who is on all fours facing away from him, as he thrusts his cock into her pussy in a heated doggy style vaginal sex session."
"AyasatoCowgirl-5","Ayasato_Cowgirl_S5","{actor1} sits on top of {actor0}, who's lying back, in a cowgirl position, as they engage in a passionate, sexual vaginal sex act, with {actor1}'s vulva enveloping {actor0}'s throbbing cock."
"AyasatoMissionary-2","Ayasato_Missionary_S2","{actor0} is kneeling between {actor1}'s legs as she lies back, his cock buried deep in her pussy as they engage in passionate vaginal sex."
"AyasatoStanding-3","Ayasato_Standing_S3","{actor0} stands behind {actor1}, who stands facing away from him, as he engages in intense vaginal sex with her."
"AyasatoDoggy-4","Ayasato_Doggy_S4","{actor0} is kneeling behind {actor1}, who's on all fours facing away from him, as he thrusts his cock into her pussy from behind in a doggy-style position."
"AyasatoFmChairHub","\N","{actor0} is sitting in the chair, looking expectant, while {actor1} stands before him, her feet planted firmly on the ground, anticipation radiating from her body as they both await their next erotic encounter."
"AyasatoDoggy-5","Ayasato_Doggy_S5","{actor0} is kneeling behind {actor1}, who is on all fours facing away from him, as he thrusts his penis into her vulva in a passionate doggy-style vaginal sex act."
"AyasatoStanding-1","Ayasato_Standing_S1","{actor0} is standing, thrusting his cock into {actor1} from behind as she stands facing away, her pussy wrapped tightly around his shaft."
"AyasatoMissionary-3","Ayasato_Missionary_S3","{actor0} is kneeling, holding {actor1}'s leg as he thrusts his dick into her pussy in a passionate missionary position, with {actor1} lying back and receiving him."
"AyasatoMissionary-4","Ayasato_Missionary_S4","{actor0} is kneeling between {actor1}'s legs, holding one of her legs up as he thrusts his cock into her pussy in a sensual missionary position, with {actor1} lying back and receiving him."
"AyasatoMissionary-5","Ayasato_Missionary_S5","{actor0} is kneeling between {actor1}'s legs, holding one of her feet up as he thrusts his cock into her pussy in a missionary position, with {actor1} lying back and receiving him."
"AyasatoCowgirl-6","Ayasato_Cowgirl_S6","{actor1} is sitting on top of {actor0}, riding him in a cowgirl position, her vulva enveloping his cock as they engage in passionate vaginal sex, with {actor0} lying back, enjoying the intense pleasure."
"AyasatoTable-5","Ayasato_Table_S5","{actor0} stands over {actor1}, who lies back on the table, as he thrusts his cock into her pussy in a missionary position, their bodies moving in a sensual rhythm."
"AyasatoTable-3","Ayasato_Table_S3","{actor0} is standing over {actor1}, who is lying back on the table, as he engages in vaginal sex with her, his penis thrusting into her vulva in a missionary-style position."
"AyasatoTable-4","Ayasato_Table_S4","{actor0} stands beside the table, his erect cock thrusting into {actor1}'s pussy as she lies on her side, her legs slightly bent and her hands grasping the edge of the table for support. {actor1} moans softly as {actor0} fucks her in a slow and sensual missionary-style rhythm."
"AyasatoTable-7","Ayasato_Table_S7","{actor0} is standing over {actor1}, who is lying back on the table, as he thrusts his cock into her pussy in a classic missionary position, engaging in passionate vaginal sex."
"AyasatoStanding-4","Ayasato_Standing_S4","{actor0} is standing behind {actor1}, his erect cock penetrating her moist pussy as they engage in a passionate fuck, their bodies moving in sync."
"AyasatoFmHub","\N","{actor0} and {actor1} stand facing each other, both with their feet firmly on the ground, anticipation hanging in the air as they wait for their next passionate encounter."
"AyasatoMissionary-1","Ayasato_Missionary_S1","{actor0} sits between {actor1}'s legs as she lies back, his cock thrusting into her pussy in a sensual missionary position."
"AyasatoStanding-2","Ayasato_Standing_S2","{actor0} is standing behind {actor1}, who is bent over with her back to him, as he thrusts his cock into her pussy in a vigorous vaginal sex act."
"AyasatoCounter-2","Ayasato_Counter_S2","{actor0} is standing behind {actor1}, who is bent over and facing away from him, as he pounds into her from behind in a doggy style position, his penis thrusting into her vulva."
"AyasatoTable-6","Ayasato_Table_S6","{actor0} is standing over {actor1}, who's lying back on the table, as he thrusts his dick into her pussy in a missionary position, their bodies moving in sync as they engage in passionate vaginal sex."
"AyasatoMissionary-6","Ayasato_Missionary_S6","{actor0} kneels between {actor1}'s legs, holding one of her feet, as he thrusts his hard cock into her wet pussy, while she lies back, taking him in, their bodies connected in a missionary-style vaginal sex."
"AyasatoChair-5","Ayasato_Chair_S5","{actor0} sits in the chair, holding {actor1}'s hand and body, as she sits on top of him, facing away, her vulva enveloping his erect penis in a passionate vaginal sex act."
"AyasatoFmTableHub","\N","{actor0} and {actor1} stand facing each other by the table, both with their feet planted firmly on the ground, anticipation hanging in the air as they await their next intimate encounter. The tension between them is palpable, their eyes locked in a silent understanding of what's to come."
"AyasatoStanding-5","Ayasato_Standing_S5","{actor0} stands behind {actor1}, who has her back to him, as he thrusts his cock into her pussy from behind."
"AyasatoTable-2","Ayasato_Table_S2","{actor0} is standing over {actor1}, who is seated at the table, as he plunges his erect cock into her wet pussy in a missionary-style vaginalsex, her legs wrapped around his waist."
"AyasatoCounter-1","Ayasato_Counter_S1","{actor0} is standing behind {actor1}, who is bending over with her face away from him, as he pounds away in a doggy style position, his dick thrusting in and out of her pussy in a frenzied rhythm."
"AyasatoTable-1","Ayasato_Table_S1","{actor0} is standing behind {actor1}, who is bent over and facing away from him, as he thrusts his Hard-On into her Pussy from behind in a doggy style position."
"AyasatoDoggy-2","Ayasato_Doggy_S2","{actor0} is kneeling behind {actor1}, who's on all fours facing away, as he thrusts his cock into her pussy in a passionate doggy-style vaginal sex encounter."
"AyasatoCowgirl-4","Ayasato_Cowgirl_S4","{actor0} is lying back while {actor1} sits on top of him, riding his throbbing cock in a cowgirl position, their bodies moving in sync as they engage in passionate vaginal sex."
