"ostim_id","sexlab_id","description"
"OStim1PStandingToSittingF","\N","{actor0} is standing upright, her feet planted firmly on the ground, in a neutral and still pose."
"OStim1PStandingM","\N","{actor0}, standing upright with their feet firmly on the ground, idly awaits their next erotic encounter."
"OStim1PStandingWashingUpperBodyM","\N","{actor0} stands with his feet on the ground, washing himself as he bathes."
"OStim2PStandingApartToHoldingMF","\N","{actor0} and {actor1} stand facing each other, their bodies upright with their feet firmly on the ground."
"OStim2PLyingKneelingMM","\N","{actor0} is lying back, relaxing, while {actor1} is kneeling beside him, their hand gently holding {actor1}'s thigh in a romantic gesture, as they both anticipation their next erotic encounter."
"OStim2PStandingCuddleFromBehindMF","\N","{actor0} stands behind {actor1}, his arms wrapped around her in a sensual cuddle as she stands facing away from him."
"OStim2PStandingCuddleHoldingHeadMF","\N","{actor0} and {actor1} stand facing each other, their bodies pressed together as they share a tender moment. {actor0} gently cradles {actor1}'s head in his hands, while they both sensually cuddle each other, their arms wrapped warmly around one another."
"OStim1PSittingF","\N","{actor0} sits idle, her anticipation palpable as she waits for the next erotic encounter, her slender figure poised in expectation."
"OStim2PStandingDrainedMaleMF","\N","{actor0} is standing on the ground, looking drowsy, while {actor1} stands beside him, both of them remaining still and not actively engaging in any physical interaction."
"OStim2PStandingGropingBreastsMF","\N","{actor0} is standing and sensually groping {actor1}'s breasts with his hands as she stands facing him."
"OStim2PStandingDrainedFemaleMF","\N","{actor0} stands with his feet firmly on the ground, while {actor1} stands beside him, looking drowsy and slightly disoriented."
"OStim2PStandingHoldingChinMF","\N","{actor0} and {actor1} stand facing each other, with {actor0} tenderly holding {actor1}'s chin in a romantic gesture, while at the same time, they grasp each other's hands."
"OStim2PStandingHoldingChinToHoldingChinHugMF","\N","{actor0} stands facing {actor1}, his hand gently cradling her chin as they share a romantic moment, their eyes locked in a tender gaze."
"OStim2PStandingHoldingFromBehindToHoldingMF","\N","{actor0} is standing, holding {actor1}'s body as she stands facing him, their bodies pressed together."
"OStim2PStandingHoldingChinKissMF","\N","{actor0} and {actor1} stand facing each other, their lips locked in a romantic and sensual kiss. {actor0} gently holds {actor1}'s chin with one hand, while they also clasp each other's hands, lost in the tender moment."
"OStim2PStandingHoldingFromBehindMF","\N","{actor0} is standing, holding {actor1}'s body from behind as she stands facing away from him."
"OStim2PStandingKissGropingButtMF","\N","{actor0} and {actor1} stand facing each other, their lips locked in a romantic and sensual kiss. Meanwhile, {actor0} reaches back to sensually grope {actor1}'s butt, as {actor1} wraps her arms around {actor0} in a sensual hug, pulling him close."
"OStim2PStandingKissHoldingHipMF","\N","{actor0} and {actor1} stand facing each other, their lips locked in a romantic and sensual kiss. At the same time, {actor0} wraps his hand around {actor1}'s hip, holding her close in a gentle, affectionate grasp."
"OStim4PLyingMMMF","\N","{actor0}, {actor1}, and {actor2} are lounging on their backs, while {actor3} is reclining beside them, all seemingly idle and awaiting their next move. The atmosphere is calm, with no active sex acts taking place at the moment."
"OStim4PStandingMFFF","\N","{actor0} stands upright on the ground, surrounded by {actor1}, {actor2}, and {actor3}, all of whom are also standing, anticipating the start of their next erotic adventure. The air is filled with tension as they wait for the moment to engage in passion."
"OStimBench2PBothSittingMM","\N","{actor0} and {actor1} sit side by side on the bench, their anticipation palpable as they await their next erotic encounter."
"OStim1PSittingM","\N","{actor0} is sitting, looking idle, awaiting the next development in the scene, his dick at the ready."
"OStim1PSittingToStandingF","\N","{actor0} is standing with her feet on the ground, doing nothing in particular."
"OStim2PBothLyingMF","\N","{actor0} and {actor1} lie back together, holding hands in a romantic gesture, their eyes locked on each other as they anticipate their next intimate encounter. The air is filled with anticipation as they eagerly await their next erotic escapade."
"OStim2PLyingOnTopMF","\N","{actor0} lies on his front, while {actor1} lies on her back beside him. They share a romantic moment, holding hands as {actor1} gently strokes {actor0}'s head, both of them visibly eager for their next intimate encounter."
"OStim2PSittingFF","\N","{actor0} and {actor1}, both female, sit side by side, their bodies intertwined as they hold each other, their hands gently grasping the other's body."
"OStim2PStandingFingeringFromBehindMF","\N","{actor0} stands behind {actor1}, who faces away from him, and reaches around to grope her breasts with one hand while using the other to rub her clitoris, stimulating her vulva."
"OStim2PStandingGrindingDryMF","\N","{actor0} stands behind {actor1}, his erection sliding into her asshole from behind as he takes her from the back in a buttjob, while {actor1} reaches around to grope {actor0}'s chest."
"OStim2PStandingHoldingMF","\N","{actor0} stands facing {actor1}, his arms wrapped around her body, holding her close as they stand together."
"OStim2PStandingNippleSuckingMF","\N","{actor0} is standing, his mouth locked onto {actor1}'s nipples as he sucks on them, while {actor1} stands, her chest exposed to his oral attention."
"OStim2PStandingKneelingMF","\N","{actor0} stands with his feet shoulder-width apart, while {actor1} kneels before him, her eyes fixed on his groin area, both of them paused in anticipation of their next intimate encounter."
"OStim2PStandingKissMF","\N","{actor0} and {actor1} stand facing each other, their lips locked in a sensual and romantic kiss. {actor0}'s hand rests on {actor1}'s hip, a gentle and intimate touch, while his other hand cradles her head. Meanwhile, {actor1}'s arms wrap around {actor0}'s body, holding him close as they share the passionate kiss."
