"ostim_id","sexlab_id","description"
"MLCStandingLyingFootjob","\N","{actor0} is standing with his feet shoulder-width apart, while {actor1} is lying back, using her feet to work his throbbing cock, expertly administering a sensual footjob that's driving him wild with pleasure."
"MLCStandingEmbraceKissSexNeck","\N","{actor0} and {actor1} stand facing each other, their bodies pressed together as they engage in passionate sex, with {actor0}'s penis thrusting into {actor1}'s vulva. Meanwhile, {actor1} tenderly kisses {actor0}'s neck, adding a romantic and sensual touch to their intimate encounter."
"MLCBedGoToSuckBreastHandjob","\N","{actor0} lies back as {actor1} kneels beside him."
"MLCBedGoToKneelingBlowjob2","\N","{actor0} is lying back while {actor1} is kneeling between his legs, her mouth wrapped around his shaft as she performs a sloppy blowjob, her lips sliding up and down his erection."
"MLCBedKneelingLyingBackFingering","\N","{actor0} is kneeling between {actor1}'s legs as she lies back, his fingers rubbing her clit in a sensual motion."
"MLCGoToSquattingHandjob3","\N","{actor0} stands with his feet on the ground, while {actor1} kneels in front of him, her hand wrapped around his cock as she gives him a handjob."
"MLCMatingPressAnal4","\N","{actor0} is on all fours, his feet planted firmly on the ground, as he plunges his stiff cock into {actor1}'s ass from behind, her lying back with her legs splayed open, receiving his thrusts in a intense anal mating press."
"MLCGoToStraddlingPump","\N","{actor0} is standing with his feet grounded, while {actor1} is suspended in the air, her body possibly lifted by {actor0} in a frozen moment of transition, a brief pause before their next movement."
"MLCStandingEmbraceKiss","\N","{actor0} and {actor1} are standing, their lips locked in a romantic and sensual kiss. As they kiss, {actor1} gently cradles {actor0}'s head in her hands, while {actor0} reciprocates by holding {actor1}'s head in his."
"MLCKneelingSpank2Left","\N","{actor0} and {actor1} are both kneeling, facing each other in a neutral position, with no sexual activity occurring between them at this moment."
"MLCGoToReverseEmbraceHandjob2Rev","\N","{actor0} is standing with his feet on the ground, while {actor1} is standing in front of him, bent over. She is giving him a handjob, her hand wrapped around his erect cock, moving up and down in a sensual motion."
"MLCKneelingSpankLeft","\N","{actor0} is on his knees, while {actor1} is also kneeling, facing him, as they pause in a moment of anticipation."
"MLCReverseEmbraceAnalSex","\N","{actor0} stands behind {actor1}, his cock buried deep in her ass as he takes her from behind, {actor1} standing with her feet shoulder-width apart, facing away from him."
"MLCStandingLying","\N","{actor0} is standing with his feet shoulder-width apart, while {actor1} is lying back, waiting for the action to resume."
"MLCSquattingHandjob2","\N","{actor0} stands with his feet planted firmly on the ground, his cock being stroked by {actor1}, who is kneeling in front of him, her hands wrapped around his shaft as she gives him a handjob."
"MLCReverseEmbraceSexClimax","\N","{actor0} stands behind {actor1}, who is bending over at the waist with her feet planted firmly on the ground, her backside facing him."
"MLCReverseEmbraceNeckKiss3","\N","{actor0} and {actor1} stand facing each other, their feet planted firmly on the ground. {actor0} gently presses his lips to {actor1}'s neck, delivering a romantic and sensual kiss, as he cradles her head with one hand, while {actor1} reciprocates by holding {actor0}'s head with her own hand."
"MLCShelfGoToKneelingBoobjob","\N","{actor0} stands with his feet on the ground next to the shelf, while {actor1} kneels beside him, her eyes looking up."
"MLCReverseEmbraceLegUp1","\N","{actor0} is standing, penetrating {actor1} from behind as she faces away, his cock thrusting into her pussy in a passionate act of vaginal sex."
"MLCReverseEmbraceSex5","\N","{actor0} stands behind {actor1}, who is bent over and facing away from him, as he simultaneously penetrates her vulva with his penis and fingers her clitoris, while {actor1} performs oral sex on herself, her mouth wrapped around her own fingers."
"MLCReverseEmbraceHandjob1","\N","{actor0} is standing, his feet firmly on the ground, while {actor1} is standing with her feet shoulder-width apart, bending over slightly. {actor1} is gripping {actor0}'s hard cock, stroking it with her hand in a handjob, as {actor0} simultaneously slips his fingers into {actor1}'s wet pussy, fingering her vulva."
"MLCStandingEmbraceKissSex3","\N","{actor0} stands with his feet on the ground, his penis buried deep in {actor1}'s vulva as they engage in passionate missionary-style sex. At the same time, {actor1} stands facing him, her hand between his legs, tenderly fingering his mouth in a sensual oralfingering act."
"MLCBedGoToKneelingBlowjob2Rev","\N","{actor0} lies back as {actor1} kneels over him, her mouth wrapped around his cock, sucking him off in a sloppy blowjob."
