"ostim_id","sexlab_id","description"
"BillyyWall2PAnalFree","\N","{actor0} is standing with his feet rooted to the ground, his erect cock thrusting into {actor1}'s ass from behind as she stands facing away from him, her back pressed against the wall."
"BillyyWall2PAnalClimax1","\N","{actor0} stands behind {actor1}, his erect cock thrusting into her anus as she faces away from him, her back against the wall. At the same time, he wraps his arms around her body, holding her close as he penetrates her from behind."
"BillyyWall2PBlowjobClimax0","\N","{actor0} stands with his feet shoulder-width apart against the wall, his erect cock buried deep in {actor1}'s mouth as she kneels before him, her lips wrapped tightly around his shaft as she performs a passionate blowjob."
"BillyyWall2PHoldingCarrying","\N","{actor0} stands with his feet on the ground, his penis buried deep in {actor1}'s vulva as she is suspended against the wall, while he simultaneously gropes her butt with his hands."
"BillyyWall2PBehind","\N","{actor0} is standing, fucking {actor1} from behind as she faces away from him, her back against the wall, while he grips her hip with one hand, his feet firmly planted on the ground."
"BillyyWall2PBehindFingering","\N","{actor0} is standing with his feet on the ground, his hands busy as he fingerfucks {actor1} from behind, his fingers buried deep in her pussy, while also holding onto her body with his other hand. {actor1} stands facing away from him, her feet planted firmly on the ground."
"BillyyWall2PBehindClimax0","\N","{actor0} stands with his feet firmly on the ground, his penis thrusting into {actor1}'s vulva as they engage in a passionate vaginal sex act, while simultaneously holding hands in a romantic gesture, as {actor1} faces away from him, also standing with her feet grounded."
"BillyyWall2PBlowjobHoldingHeadClimax0","\N","{actor0} is standing with his feet firmly on the ground, while {actor1} is kneeling in front of him, her mouth wrapped around his cock as she gives him a blowjob, taking his penis deep into her mouth."
"BillyyWall2PBlowjobSplayedClimax0","\N","{actor0} stands with his feet shoulder-width apart, his erect cock being serviced by {actor1}, who is kneeling in front of him, her mouth wrapped around his shaft as she performs a blowjob, her head bobbing up and down in a sensual rhythm."
"BillyyWall2PAnalClimax01","\N","{actor0} stands behind {actor1}, his erection buried deep in her ass as he pounds away, his hands grasping her hips for leverage. {actor1} stands facing away, her back arched in pleasure."
"BillyyWall2PBehindClimax1","\N","{actor0} stands with his feet on the ground, his penis inside {actor1}'s vulva as they engage in vaginal sex against the wall. At the same time, they hold hands, their fingers intertwined in a romantic gesture, with {actor1} facing away from {actor0}."
"BillyyWall2PBlowjob","\N","{actor0} stands with his feet on the ground, his back against the wall, as {actor1} kneels in front of him, her mouth wrapped around his cock, performing a blowjob. At the same time, she reaches up to hold his leg, her hand grasping his thigh as she works her head up and down."
"BillyyWall2PAnalMasturbation","\N","{actor0} stands with his feet shoulder-width apart, his penis penetrating {actor1}'s butt from behind as she stands facing away from him, her back against the wall. Meanwhile, {actor1} reaches down to stimulate her own vulva, her fingers moving in a circular motion as {actor0}'s hand grips her hip, holding her in place."
"BillyyWall2PFaceFuckHoldingHead","\N","{actor0} is standing against the wall with his feet shoulder-width apart, holding {actor1}'s head in place as she kneels in front of him, her mouth wrapped around his erection, actively sucking him off."
"BillyyWall2PBlowjobSplayed","\N","{actor0} stands against the wall with his feet shoulder-width apart, his penis buried in {actor1}'s mouth as she kneels before him, her lips wrapped around his shaft in a passionate blowjob. Meanwhile, {actor1} reaches up to gently grasp {actor0}'s leg, holding it in place as she continues to pleasure him orally."
"BillyyWall2PFaceFuck","\N","{actor0} stands with his feet on the ground against the wall, his erection buried in {actor1}'s mouth as she kneels before him, her lips wrapped around his shaft. {actor1} is giving {actor0} a blowjob, her head bobbing up and down as she sucks his dick, with {actor0} being the one in control of the oral sex act."
"BillyyWall2PHandjob","\N","{actor0} and {actor1} are standing with their feet on the ground, pressed against the wall. {actor1} has her hand wrapped around {actor0}'s cock, jerking him off while {actor0} has his hands on her body, holding her close."
"BillyyWall2PFaceFuckHoldingArms","\N","{actor0} stands against the wall, his feet planted firmly on the ground, as he receives a blowjob from {actor1}, who is sitting in front of him, her mouth wrapped around his cock. At the same time, {actor0} has his hand on {actor1}'s arm, holding it in place as he remains the active participant in the oral sex act."
"BillyyWall2PHoldingPressed","\N","{actor0} is standing with his feet shoulder-width apart, his erection firmly inside {actor1}'s pussy as she's suspended against the wall, her legs wrapped around his waist. He's pounding into her, their bodies moving in sync as they engage in intense vaginal sex."
"BillyyWall2PFingering","\N","{actor0} stands against the wall, his feet planted firmly on the ground, as he fingers {actor1}'s vulva, his hand moving in a sensual rhythm. {actor1} stands facing him, her feet also on the ground, her body responding to his intimate touch."
"BillyyWall2PFaceFuckHoldingHeadAndArm","\N","{actor0} stands with his feet on the ground, his erection in {actor1}'s mouth as she squats in front of him, performing a blowjob. He's got a hand on the back of her head, holding it in place, and another hand gripping her arm, as he takes an active role in the oral sex act."
"BillyyWall2PHoldingClimax0","\N","{actor0} is standing with his feet firmly on the ground, his dick buried deep in {actor1}'s pussy as she's suspended against the wall, her legs wrapped around him."
"BillyyWall2PKneeling","\N","{actor0} is kneeling behind {actor1}, who is also on her knees, facing away from him, with her back against the wall. He's thrusting his cock into her pussy, holding onto her hip with one hand, as they engage in a passionate vaginal sex act."
"BillyyWall2PBehindHollowBack","\N","{actor0} stands against the wall, his feet planted firmly on the ground, as he thrusts into {actor1} from behind, his cock sliding in and out of her pussy. Meanwhile, he reaches around to hold onto her body, his hands grasping her waist possessively as they move in sync."
"BillyyWall2PLegUpClimax0","\N","{actor0} stands with his feet on the ground, holding {actor1}'s leg, as he fucks her from behind, her back against the wall, her feet on the ground, facing away from him."
"BillyyWall2PKneelingClimax0","\N","{actor0} kneels behind {actor1}, who is also on her knees, facing away from him, as they press against the wall. He thrusts his cock into her pussy, holding onto her hip with one hand as they engage in passionate vaginal sex."
"BillyyWall2PLegUpClimax01","\N","{actor0} stands against the wall, his feet planted firmly on the ground, as he thrusts into {actor1} from behind, his penis sliding in and out of her vulva in a smooth rhythm. Meanwhile, he reaches down to grasp her leg, holding it in place as she stands facing away from him, her feet also on the ground."
"BillyyWall2PHoldingClimax01","\N","{actor0} stands with his feet shoulder-width apart, his erection firmly inside {actor1} as he holds her suspended against the wall, her legs wrapped around his waist, their bodies locked in a passionate, sexual embrace, his penis thrusting deep into her vulva."
"BillyyWall2PKneelingClimax1","\N","{actor0} is kneeling with his cock buried deep in {actor1}'s pussy as she kneels facing away, her hips being held by {actor0}'s hands."
"BillyyWall2PKneelingClimax01","\N","{actor0} is kneeling against the wall, his dick buried deep inside {actor1}'s pussy as she kneels facing away from him, her back arched in pleasure. He's got a firm grip on her hip, holding her steady as he thrusts into her from behind."
"BillyyWall2PHoldingClimax1","\N","{actor0} stands with his feet firmly on the ground, his erection thrusting into {actor1}'s pussy as she's suspended against the wall, her legs wrapped around his waist."
"BillyyWall2PAnalClimax0","\N","{actor0} is standing with his feet shoulder-width apart, his erect cock penetrating {actor1}'s anus from behind as she stands facing away from him, her body held firmly in place by his grasping hands."
"BillyyWall2PLegUpBendOver","\N","{actor0} is standing with his feet on the ground, slamming his dick into {actor1}'s pussy from behind as she bends over with her feet on the ground, her back to him. He's got one hand holding her arm and the other grasping her leg, holding her in place as they fuck against the wall."
"BillyyWall2PBehindClimax01","\N","{actor0} is standing with his feet on the ground, his erection buried deep inside {actor1}'s pussy as he fucks her from behind, her back pressed against the wall. At the same time, they're holding hands, a romantic gesture amidst the intense sex."
"BillyyWall2PLegUpClimax1","\N","{actor0} is standing with his feet on the ground, holding {actor1}'s leg as she stands facing away from him, her back against the wall, while he thrusts his dick into her pussy from behind."
"BillyyWall2PKneelingBendOver","\N","{actor0} kneels behind {actor1}, who's also on her knees, facing away from him as they're pressed against the wall. He thrusts his cock into her pussy while holding onto her hip, their bodies locked in a passionate, intimate rhythm."
"BillyyWall2PAnalHoldingArm","\N","{actor0} is standing with his feet on the ground, thrusting his cock into {actor1}'s ass from behind as she stands facing away, her feet also on the ground. At the same time, {actor0} has a grip on {actor1}'s arm with his hand."
"BillyyWall2PBehindBendOver","\N","{actor0} is standing with his feet shoulder-width apart, his penis buried deep inside {actor1}'s vulva as he takes her from behind, her body bent over at the waist, facing away from him. He's got a firm grip on her hip, holding her in place as he thrusts into her."
"BillyyWall2PBlowjobHoldingHead","\N","{actor0} stands with his feet shoulder-width apart against the wall, his penis buried in {actor1}'s mouth as she kneels before him, her lips wrapped around his shaft in a sultry blowjob. He reaches down to gently hold her head in place, while she steadies herself by grasping his leg with one hand."
"BillyyWall2PAnalHoldingHip","\N","{actor0} is standing with his feet shoulder-width apart, his erect cock deeply penetrating {actor1}'s ass from behind as she stands facing away from him, her back against the wall. Meanwhile, he's got a firm grip on her hip, holding her in place as he thrusts into her."
"BillyyWall2PLegUpHollowBack","\N","{actor0} stands with his feet on the ground, his erection buried deep inside {actor1}'s pussy as they vaginally fuck against the wall. He holds her body with one hand and her leg with the other, while she stands facing away from him."
"BillyyWall2PKneelingHollowBack","\N","{actor0} is kneeling with his back against the wall, while {actor1} is facing away from him, also on her knees. He's thrusting his dick into her pussy from behind, as he holds onto her body with one hand, grasping her hip tightly."
"BillyyWall2PFaceFuckClimax0","\N","{actor0} stands with his feet shoulder-width apart against the wall, his cock buried in {actor1}'s mouth as she sits at his feet, enthusiastically sucking him off in a passionate oral sex act, her head bobbing up and down as he actively thrusts his hips forward."
"BillyyWall2PHoldingLegUp","\N","{actor0} stands against the wall, his feet firmly on the ground, as he thrusts his cock into {actor1}'s pussy, who is also standing with her feet on the ground. At the same time, {actor0} reaches around to grope {actor1}'s ass with his hands."
"BillyyWall2PLegUp","\N","{actor0} stands with his feet shoulder-width apart, his penis deep inside {actor1}'s vulva as they engage in vaginal sex against the wall. Meanwhile, he wraps one hand around her hip, pulling her closer, and uses the other hand to hold onto her leg, steadying himself as they move in unison."
